run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
3,1,complete,120,59,60,4.348,1775.255,7.415,3,0,0.483,1,1,0,0,0,1.09736,-10.94856,-0.108694,1.1566,2.57076,0.10704,16.490999999999985,19.185000000000002,1.103634,0,,0,1,88,176,88,91,83
3,2,complete,120,59,60,4.144,971.803,3.723,6,2.999,-0.18,2,1,0,0,0,1.16449,-11.26243,-0.186335,1.14781,2.77625,0.183666,18.441000000000003,17.903999999999996,2.052967,1.367999999999995,,0,1,83,166,83,90,76
3,3,complete,121,60,60,6.218,2680.781,8.535,8,0,-37.577,1,1,-0.14667,0,-0.004267,-0.14667,-11.26454,-0.004267,0.23205,0.44383,0.011671,0.6410000000000196,1.1610000000000014,0.033053,0.12000000000000455,,0,1,89,178,89,93,68
3,4,complete,120,59,60,2.636,378.793,10.821,9,5,-1.944,2,1,0.20813,0,0,0.20813,-10.93038,0.060391,1.74114,2.66065,0.071766,41.06299999999999,22.846000000000004,1.121183,0,,0,1,54,108,54,54,62
3,5,complete,120,59,60,4.202,918.333,0.519,9,11,8.374,6,3,0,0.71085,0,-0.55836,-10.24412,-0.186203,1.94483,1.49587,0.124293,52.47900000000001,17.77600000000001,2.017976,0.02400000000000091,,0,1,84,168,84,91,85
3,6,complete,120,59,60,4.956,1754.612,4.805,35,11,-10.578,2,1,0.18902,1.15236,0,0.18902,-9.76158,0.218044,1.56524,2.39728,0.082086,16.480999999999995,25.13900000000001,1.588328,3.6469999999999914,,0,1,63,126,63,66,67
3,7,complete,123,62,60,4.74,1831.832,2.853,4,0,11.681,1,1,0.73317,-0.3149,0.026481,0.06945,0.18224,-0.011598,0.76728,0.3149,0.026481,9.644000000000005,1.5840000000000032,0.22752699999999998,1.5840000000000032,,0,1,102,204,102,107,84
3,8,complete,122,61,60,5.508,2566.696,2.475,5,26.075,1.549,14,9,-0.03928,-0.43108,0.033304,-0.14208,-6.90402,-0.214225,0.60928,0.43108,0.033304,2.3329999999999984,1.4039999999999964,0.10646499999999998,1.4039999999999964,,0,1,68,136,68,69,57
3,9,complete,121,60,60,5.038,2670.843,2.201,5,0,-10.256,1,1,0.29493,3.04189,0.294919,0.21027,-4.11268,0.065984,1.06791,3.27733,0.294919,14.233000000000004,14.149000000000001,2.082642,10.896000000000015,,0,1,78,156,78,82,79
3,10,complete,121,60,60,6.51,5147.624,3.157,50,8,22.788,2,1,0,0,0,0.80955,-11.95813,0.023066,0.85532,0.63883,0.026716,7.474000000000018,3.9150000000000205,0.22447,3.122000000000014,,0,1,97,194,97,102,84
