run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px
1,1,complete,120,59,60,4.348,1775.255,7.415,3,1,-0.265,2,1,0,0,0,1.08916,-10.9812,-0.107658,1.16827,2.75664,0.101622,15.376000000000005,19.15300000000002,1.074134,0,,0,1,88,176,88,91,83,-0.765,0.235,0.765,1.570796,-0.26492,0.265,0.265
1,2,complete,120,59,60,4.144,971.803,3.723,6,3,-1.094,2,1,0.09385,0,0,0.09385,-10.89123,0.031485,2.08323,1.55625,0.085107,46.337999999999994,20.47999999999996,1.316697,0,,0,1,83,166,83,90,76,-2.594,0.406,2.594,1.570796,-1.093629,1.094,1.094
1,3,complete,121,60,60,6.218,2680.781,8.535,8,7,15.812,2,1,-0.15973,3.25951,0,-0.15973,-7.74984,-0.260655,0.23139,3.25951,0.011078,0.7630000000000052,0.7830000000000155,0.058707,0.2740000000000009,,0,1,89,178,89,93,68,12.312,19.312,19.312,1.570796,15.811837,15.812,15.812
1,4,complete,120,59,60,2.636,378.793,10.821,9,9,-2.944,4,2,0,0,0,1.43655,-11.31936,-0.213073,1.66328,3.3973,0.134763,23.34700000000001,35.575999999999965,1.912755,2.5249999999999773,,0,1,54,108,54,54,62,-7.444,1.556,7.444,1.570796,-2.943854,2.944,2.944
1,5,complete,120,59,60,4.202,918.333,0.519,9,4.991,9.751,2,1,0,1.16322,0,-0.64329,-9.81219,-0.188714,1.44051,2.21948,0.186011,22.977000000000004,18.392999999999972,1.956684,0,,0,1,84,168,84,91,85,7.255,12.247,12.247,1.570796,9.75099,9.751,9.751
1,6,complete,120,59,60,4.956,1754.612,4.805,35,11,-10.578,2,1,0.16744,1.16114,0,0.16744,-9.75966,0.220507,1.51648,2.46212,0.083544,13.331999999999994,24.959000000000003,1.571051,3.742999999999995,,0,1,63,126,63,66,67,-16.078,-5.078,16.078,1.570796,-10.578289,10.578,10.578
1,7,complete,122,61,60,4.74,1831.832,2.853,4,0,15.461,1,1,0.88343,-0.62544,0.032528,0.06585,-3.15462,-0.145847,1.03608,0.62544,0.032528,16.437999999999988,3.225999999999999,0.3191780000000001,2.619000000000028,,0,1,102,204,102,107,84,15.461,15.461,15.461,1.570796,15.461076,15.461,15.461
1,8,complete,120,59,60,5.508,2566.696,2.475,5,1.996,-28.072,2,1,0.33321,5.88248,0,0.33321,-5.0793,0.244161,0.96263,6.06345,0.240664,4.393000000000001,11.586000000000013,0.5194460000000001,0,,0,1,68,136,68,69,57,-29.07,-27.074,29.07,1.570796,-28.07216,28.072,28.072
1,9,complete,120,59,60,5.038,2670.843,2.201,5,3,-32.175,2,1,0.08499,7.11642,0,0.08499,-3.80437,0.229992,1.05595,7.28987,0.292743,15.057000000000016,14.19300000000004,2.372736,2.4960000000000377,,0,1,78,156,78,82,79,-33.675,-30.675,33.675,1.570796,-32.174672,32.175,32.175
1,10,complete,121,60,60,6.51,5147.624,3.157,50,8,22.788,2,1,0,0,0,0.80955,-11.95812,0.023066,0.8434,0.6392,0.027076,7.4339999999999975,3.915999999999997,0.22452499999999997,3.1229999999999905,,0,1,97,194,97,102,84,18.788,26.787,26.787,1.570796,22.787574,22.788,22.788
