run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_span_from_com_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_com_distance_px,landing_contact_asymmetry_px,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
3,21,complete,121,60,60,8.592,8519.244,3.325,59,0,-27.236,1,1,-0.15432,0,-0.002069,-0.15432,-11.07239,-0.002069,0.15432,0.10328,0.003786,0.2079999999999984,0.06700000000000728,0.003041,0.022999999999967713,120,1,0,50,100,50,50,44,-27.236,-27.236,27.236,1.570796,-27.235958,27.236,27.236,7088,-27.236:37.733,-27.235958
3,22,complete,127,66,60,3.966,1328.128,2.502,5,0,3.403,1,1,0.0801,0.14932,-0.045098,-0.64075,-1.28533,0.0451,1.32587,0.9351,0.062518,36.49199999999999,9.072000000000003,1.4517510000000002,0,,0,1,67,134,67,70,54,3.403,3.403,3.403,1.570796,3.403499,3.403,3.403,7149,3.403:30.278,3.403499
3,23,complete,122,61,60,3.404,1817.289,0.999,56,56,-8.184,6,3,0,0,0.012975,0.36343,-11.38367,0.012975,0.38736,0.18612,0.013439,1.4519999999999982,1.2069999999999936,0.054830000000000004,1.2069999999999936,,0,1,71,142,71,78,70,-36.184,19.815,36.184,1.570796,-8.184429,8.184,8.184,7229;7229;7230;7230;7231;7231,-32.184:25.964;-36.184:25.951;19.815:26.136;7.815:26.097;18.812:27.133;9.812:27.103,-32.184298;-36.184276;19.815417;7.815483;18.812110;9.812160
3,24,complete,121,60,60,4.054,1448.135,12.846,7,6,13.557,4,2,-0.31267,2.64175,0,-0.31267,-8.36727,-0.242035,1.56824,2.88328,0.238353,31.703000000000003,14.007999999999981,1.870474,0,,0,1,66,132,66,67,62,10.557,16.557,16.557,1.570796,13.556734,13.557,13.557,7297;7297;7299;7299,12.557:34.289;10.557:34.289;16.557:34.289;14.557:34.289,12.556734;10.556734;16.556734;14.556734
3,25,complete,133,72,60,2.958,422.016,3.375,16,0.685,19.442,3,2,0.31849,0.99196,-0.049932,-0.14633,-1.49987,-0.21178,1.22327,1.13462,0.059725,28.540999999999997,9.100999999999999,1.2416410000000002,0,,0,1,85,170,85,88,80,19.1,19.785,19.785,1.570796,19.442385,19.442,19.442,7304;7304;7305,19.785:29.161;19.100:28.432;19.100:28.432,19.784921;19.099849;19.099849
3,26,complete,121,60,60,4.034,1163.861,2.725,11,0,-16.027,1,1,0,3.76839,0,0.44677,-7.24088,0.302277,0.88888,3.76839,0.126761,11.427999999999997,17.122000000000014,1.806865,0,,0,1,76,152,76,82,72,-16.027,-16.027,16.027,1.570796,-16.02694,16.027,16.027,7464,-16.027:36.277,-16.026940
3,27,complete,121,60,60,4.88,2744.433,3.428,6,0,12.929,1,1,0,1.18595,0,-1.52095,-9.81641,-0.091902,1.13534,1.38064,0.026762,18.346000000000004,5.350999999999999,0.48108,0,,0,1,66,132,66,70,66,12.929,12.929,12.929,1.570796,12.928656,12.929,12.929,7532,12.929:39.446,12.928656
3,28,complete,120,59,60,3.352,665.675,2.082,3,1.995,-13.103,2,1,0,2.33756,0,0.70755,-8.65146,0.249406,1.58391,2.33756,0.063632,44.827,16.565999999999974,1.37126,0.4490000000000123,,0,1,92,184,92,95,80,-14.1,-12.105,14.1,1.570796,-13.102602,13.103,13.103,7626;7626,-12.105:39.301;-14.100:39.159,-12.105147;-14.100058
3,29,complete,120,59,60,4.632,1624.548,2.816,3,1.998,10.754,2,1,0,1.63124,0,-0.78042,-9.36457,-0.162196,2.18557,1.63124,0.073545,64.49699999999999,11.479000000000042,2.180267,0,,0,1,83,166,83,91,70,9.755,11.753,11.753,1.570796,10.754102,10.754,10.754,7711;7711,9.755:38.595;11.753:38.497,9.755297;11.752908
3,30,complete,130,69,60,3.614,888.625,5.169,11,0,-23.766,1,1,-0.7276,-0.74619,-0.03412,0.1171,-0.166,0.035453,1.15469,0.82246,0.06254,16.849999999999994,7.635999999999967,0.7907019999999998,2.399000000000001,,0,1,61,122,61,63,64,-23.766,-23.766,23.766,1.570796,-23.76633,23.766,23.766,7718,-23.766:23.848,-23.766330
