run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies
1,1,complete,120,59,60,4.348,1775.255,7.415,3,2,1,0.003799,0,10.94129,0,0.14055,0.00079,0.004557,0.14055,-10.9405,0.004557,1.25218,0.46987,0.027295,32.615999999999985,4.710000000000036,0.602528,0,,0,1,88,176,88,91,83,-1.471,-0.471,1.570796,-0.971254,90;90,-0.471:48.372;-1.471:48.368,-0.471258;-1.471251
1,2,complete,135,74,60,4.144,971.803,3.723,6,1,1,-1.996237,0.4911,0.20369,0.01732,0.36051,-0.05509,0.006771,-0.13059,-0.25878,-0.010549,0.36051,0.09728,0.010597,0.8540000000000134,0.3930000000000291,0.03331600000000012,0.06800000000004047,,0,1,83,166,83,90,76,11.362,11.362,1.570796,11.36193,137,11.362:28.439,11.361930
1,3,complete,121,60,60,6.218,2680.781,8.535,8,4,2,0,0,11.02288,0,-0.30666,2.98227,0,-0.30666,-8.04061,-0.245968,0.30666,2.98227,0.012857,0.7590000000000146,1.1569999999999823,0.068865,1.1539999999999964,,0,1,89,178,89,93,68,11.312,19.312,1.570796,15.311837,265;265;266;266,19.312:32.303;11.312:32.303;19.312:33.303;12.312:33.303,19.311837;11.311837;19.311837;12.311837
1,4,complete,136,75,60,2.636,378.793,10.821,9,1,1,-1.820191,0.92012,3.56867,-0.100895,1.56355,2.37497,0.086471,0.64343,-1.19371,0.187366,1.56355,2.84825,0.092488,4.390999999999991,6.573999999999955,0.3635949999999999,0,,0,1,54,108,54,54,62,-28.437,-28.437,1.570796,-28.436667,274,-28.437:18.020,-28.436667
1,5,complete,120,59,60,4.202,918.333,0.519,9,2,1,-0.058787,0,10.9686,0,0,1.16239,0,-0.64331,-9.80621,-0.188526,1.62276,2.2382,0.185658,21.414000000000016,18.39100000000002,1.959221,0,,0,1,84,168,84,91,85,7.253,12.245,1.570796,9.749112,408;408,7.253:40.283;12.245:39.990,7.253431;12.244793
1,6,complete,120,59,60,4.956,1754.612,4.805,35,6,3,0,0,10.93447,0,0,0,0,-0.51529,-11.70653,-0.056044,0.74259,0.4786,0.032494,8.616000000000014,2.5219999999999914,0.20557799999999998,2.5219999999999914,,0,1,63,126,63,66,67,-17.078,17.922,1.570796,0.421711,471;471;472;472;473;473,17.922:41.457;15.922:41.457;-5.078:41.457;-17.078:41.457;-5.078:42.457;-16.078:42.457,17.921711;15.921711;-5.078289;-17.078289;-5.078289;-16.078289
1,7,complete,120,59,60,4.74,1831.832,2.853,4,4,2,0,0,10.91396,0,0,2.7217,0,0.3718,-8.19226,0.232901,0.80057,2.94795,0.212368,11.203000000000003,3.3840000000000146,0.615519,0,,0,1,102,204,102,107,84,-15.103,-11.103,1.570796,-13.102954,576;576;577;577,-11.103:42.789;-15.103:42.789;-12.103:43.789;-14.103:43.789,-11.102954;-15.102954;-12.102954;-14.102954
1,8,complete,120,59,60,5.508,2566.696,2.475,5,4,2,0,0,10.94815,0,0.20164,5.85652,0,0.20164,-5.09163,0.255753,0.68023,6.23883,0.242961,10.483000000000004,12.704999999999984,0.761675,0,,0,1,68,136,68,69,57,-27.468,-22.468,1.570796,-24.968046,646;646;647;647,-22.468:40.187;-27.468:40.187;-24.468:41.187;-26.468:41.187,-22.468046;-27.468046;-24.468046;-26.468046
1,9,complete,139,78,60,5.038,2670.843,2.201,5,1,1,2.275237,0.51492,1.27225,0.084624,0.58673,-0.43433,0.024553,0.07181,-1.70658,-0.060071,1.06117,0.67245,0.031396,15.123999999999995,5.220000000000027,0.39835700000000007,1.2030000000000314,,0,1,78,156,78,82,79,14.207,14.207,1.570796,14.207276,654,14.207:40.062,14.207276
1,10,complete,127,66,60,6.51,5147.624,3.157,50,1,1,0.129232,0.7173,0.4588,0.019868,0.56208,-0.07871,0.003415,-0.15522,-0.5375,-0.016453,0.86135,0.64684,0.026985,7.141999999999996,3.9010000000000105,0.207708,0.19999999999998863,,0,1,97,194,97,102,84,22.46,22.46,1.570796,22.45983,826,22.460:38.060,22.459830
