run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids
3,11,complete,121,60,60,7.92,8547.864,7.191,25,1,1,-0.002276,0,11.07003,0,-0.08653,0,-0.002903,-0.08653,-11.08656,-0.002903,0.08653,0.01442,0.002903,0.20999999999997954,0.033999999999991815,0.005267,0.024999999999977263,119,1,0,78,156,78,80,67,-6.913,-6.913,1.570796,-6.913156,6384,-6.913:36.388,-6.913156,1,
3,12,complete,122,61,60,3.718,2601.283,4.837,6,1,1,0.131691,0,11.13689,0,0,2.75412,0,1.7197,-8.38277,0.141094,0.84378,2.75412,0.035669,10.483000000000004,5.027000000000044,0.473982,0.015000000000043201,,0,1,65,130,65,66,71,-19.465,-19.465,1.570796,-19.464553,6451,-19.465:27.180,-19.464553,1,
3,13,complete,121,60,60,4.536,3981.248,4.575,14,4,2,0,0,11.10356,0,-0.09423,0,-0.008808,-0.09423,-11.1043,-0.008808,0.29239,0.12893,0.012669,4.906000000000006,0.4390000000000214,0.201734,0,,0,1,57,114,57,60,65,-0.109,6.891,1.570796,3.390653,6509;6509;6510;6510,1.891:23.489;-0.109:23.489;6.891:23.489;4.891:23.489,1.890653;-0.109347;6.890653;4.890653,1,
3,14,complete,121,60,60,7.566,7101.376,6.276,25,1,1,0.011656,0,11.09016,0,0,0,0,0.48244,-11.15034,0.015055,0.49446,0.07815,0.013142,10.085000000000008,0.3949999999999818,0.288508,0.3720000000000141,,0,1,71,142,71,80,78,3.997,3.997,1.570796,3.996874,6583,3.997:34.980,3.996874,1,
3,15,complete,120,59,60,5.814,3593.304,4.465,13,4,2,0,0,10.97541,0,0,2.25248,0,-0.363,-8.72293,-0.200203,1.96108,2.25248,0.062413,67.769,10.51400000000001,2.343247,0,,0,1,55,110,55,55,49,10.756,23.756,1.570796,17.255934,6639;6639;6640;6640,23.756:36.932;11.756:36.932;23.756:37.932;10.756:37.932,23.755934;11.755934;23.755934;10.755934,1,
3,16,complete,122,61,60,3.306,3597.108,6.323,12,2,1,-0.017447,0,11.1701,0,0,0.41502,0,-1.83667,-10.75508,-0.061223,1.81037,0.8336,0.071379,7.259999999999991,3.0790000000000077,0.280054,0.7210000000000036,,0,1,49,98,49,49,48,10.178,16.177,1.570796,13.177207,6691;6691,10.178:21.104;16.177:21.000,10.177663;16.176750,1,
3,17,complete,121,60,60,5.48,5629.969,2.731,19,4,2,0,0,11.08346,0,0,0.17271,0,-1.32282,-10.91074,-0.044227,1.31645,0.57892,0.046605,16.157999999999987,4.146999999999991,0.562859,3.811999999999955,,0,1,58,116,58,59,60,0.247,19.247,1.570796,9.746715,6750;6750;6751;6751,19.247:25.947;0.247:25.947;10.247:26.947;5.247:26.947,19.246715;0.246715;10.246715;5.246715,1,
3,18,complete,120,59,60,3.562,630.087,1.933,18,2,1,-0.007603,0,11.0026,0,-0.34431,0,-0.001687,-0.34431,-11.06938,-0.001687,0.41776,0.13802,0.013281,4.482999999999976,0.3079999999999927,0.091626,0.2189999999999941,,0,1,86,172,86,97,82,-11.572,-5.572,1.570796,-8.572354,6839;6839,-11.572:42.677;-5.572:42.631,-11.572267;-5.572441,1,
3,19,complete,126,65,60,4.006,1049.179,2.425,8,6,4,-1.860129,-0.16023,3.55679,-0.276707,0.60504,0.7731,0.026884,0.76527,-2.78369,0.303591,0.98047,1.24019,0.05283,8.540999999999997,3.6299999999999955,0.43403899999999984,0.049999999999954525,,0,1,72,144,72,73,59,-32.453,-27.763,1.570796,-30.108023,6845;6846;6846;6847;6847;6848,-32.453:21.835;-31.209:22.508;-29.292:21.938;-29.007:22.896;-28.048:22.611;-27.763:23.569,-32.452861;-31.209114;-29.292244;-29.006932;-28.048497;-27.763185,1,
3,20,complete,120,59,60,4.246,1052.603,1.069,5,2,1,0,0,10.91396,0,-0.24469,0,0,-0.24469,-10.92849,-0.015045,0.80874,0.24034,0.018547,21.72999999999999,1.3710000000000377,0.439119,0.0049999999999954525,,0,1,122,244,122,127,82,-0.641,3.359,1.570796,1.359162,7037;7037,3.359:42.060;-0.641:42.060,3.359162;-0.640838,1,
