run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids,narrow_landing_evaluated,narrow_landing_contact_width_px,narrow_landing_contact_source,narrow_landing_contact_offset_px,narrow_landing_angular_before,narrow_landing_angular_delta,narrow_landing_angular_after,narrow_landing_width_condition,narrow_landing_offset_condition,narrow_landing_delta_condition,narrow_landing_correction,narrow_landing_correction_applied
1,1,complete,120,59,60,4.348,1775.255,7.415,3,2,1,-0.071321,0,10.92762,0,0,0,0,2.66378,-11.15793,-0.184833,2.62326,1.88854,0.182021,54.61100000000002,20.072000000000003,1.626292,0.9620000000000459,,0,1,88,176,88,91,83,2.163,3.16,1.570796,2.661588,90;90,2.163:48.342;3.160:48.271,2.162859;3.160317,1,,1,68.796,geometry-edge,2.530,0.000000,-0.000000,0.000000,0,0,0,0.000000,0
1,2,complete,120,59,60,4.144,971.803,3.723,6,2,1,-0.016148,0,10.94131,0,0,0,0,0.94835,-11.23009,-0.145809,0.96753,2.57207,0.149995,12.792999999999978,16.674999999999955,2.014289,0.1479999999999677,,0,1,83,166,83,90,76,-1.873,1.127,1.570796,-0.373121,175;175,-1.873:44.648;1.127:44.599,-1.872926;1.126683,1,,1,39.810,geometry-edge,6.901,-0.000360,0.000545,0.000185,0,1,0,0.000000,0
1,3,complete,121,60,60,6.218,2680.781,8.535,8,1,1,-0.066139,0,11.10356,0,-0.10948,0,-0.003159,-0.10948,-11.22311,-0.003159,0.46403,0.54154,0.014109,1.6970000000000027,1.1210000000000377,0.034742,0.02800000000002001,,0,1,89,178,89,93,68,-37.533,-37.533,1.570796,-37.532549,263,-37.533:33.857,-37.532549,1,,1,59.072,geometry-edge,8.954,-0.000000,-0.000000,-0.000000,0,1,0,0.000000,0
1,4,complete,120,59,60,2.636,378.793,10.821,9,1,1,0.027418,0,10.94815,0,0,0.0021,0.009391,0.36918,-10.94605,0.009391,1.72928,2.5812,0.069812,40.553,22.839999999999975,1.0852570000000001,0,,0,1,54,108,54,54,62,-0.678,-0.678,1.570796,-0.677589,322,-0.678:44.994,-0.677589,1,,1,64.411,geometry-edge,5.837,-0.000000,0.000000,-0.000000,0,1,0,0.000000,0
1,5,complete,120,59,60,4.202,918.333,0.519,9,2,1,0,0,10.93447,0,-0.12693,1.39939,0,-0.12693,-9.53508,-0.258331,0.86125,2.2153,0.254401,6.159999999999997,18.744999999999948,2.169959,0,,0,1,84,168,84,91,85,4.874,9.874,1.570796,7.374108,408;408,9.874:40.640;4.874:40.640,9.874108;4.874108,1,,1,40.309,geometry-edge,6.599,-0.000000,0.000000,-0.000000,0,1,0,0.000000,0
1,6,complete,120,59,60,4.956,1754.612,4.805,35,1,1,0.139073,0,10.99581,0,0,0,0,0.71426,-12.73788,0.130414,1.4818,2.59296,0.12843,18.914000000000016,27.444000000000017,2.010286,5.131000000000029,,0,1,63,126,63,66,67,12.002,12.002,1.570796,12.001675,471,12.002:43.541,12.001675,1,,1,62.065,geometry-edge,7.775,0.000000,-0.000000,0.000000,0,1,0,0.000000,0
1,7,complete,120,59,60,4.74,1831.832,2.853,4,2,1,0.081013,0,10.98221,0,0,2.16531,0,0.8107,-8.81691,0.153851,1.63029,2.41408,0.15151,62.380000000000024,15.752999999999986,1.918686,0,,0,1,102,204,102,107,84,-17.6,-15.607,1.570796,-16.60359,577;577,-15.607:42.666;-17.600:42.504,-15.606869;-17.600310,1,,1,0.913,geometry-edge,24.690,-0.007533,-0.000977,-0.008510,1,1,0,0.000000,0
1,8,complete,121,60,60,5.508,2566.696,2.475,5,1,1,0.087333,0,11.01609,0,0,3.94861,0,0.44245,-7.06747,0.140559,0.87969,3.94861,0.029474,17.054000000000002,10.958000000000027,0.520583,0,,0,1,68,136,68,69,57,-27.967,-27.967,1.570796,-27.967198,647,-27.967:38.896,-27.967198,1,,1,0.462,geometry-edge,9.247,-0.003264,0.000810,-0.002454,1,1,0,0.000000,0
1,9,complete,120,59,60,5.038,2670.843,2.201,5,2,1,0.055211,0,10.97541,0,0,5.15961,0,0.35149,-5.8158,0.155217,1.6872,5.15961,0.057768,25.708,11.537000000000035,0.844291,0,,0,1,78,156,78,82,79,-35.954,-32.958,1.570796,-34.456017,727;727,-32.958:40.473;-35.954:40.307,-32.958303;-35.953732,1,,1,34.111,geometry-edge,3.014,-0.000000,0.000000,0.000000,0,0,0,0.000000,0
1,10,complete,128,67,60,6.51,5147.624,3.157,50,1,1,-0.514004,-0.55173,0.33174,-0.061572,-0.77096,-0.6382,-0.028267,-0.21923,-0.96994,0.033305,1.26064,0.76886,0.038945,25.363,9.050000000000011,0.684109,2.3210000000000264,,0,1,97,194,97,102,84,-20.227,-20.227,1.570796,-20.2266,808,-20.227:41.104,-20.226600,1,,1,7.034,geometry-edge,15.976,-0.001787,0.000526,-0.001261,1,1,0,0.000000,0
