run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_points,contact_parts,landing_angle,landing_pre_vx,landing_pre_vy,landing_pre_angular_velocity,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices,landing_contact_left_offset_px,landing_contact_right_offset_px,landing_contact_normal_angle_rad,landing_contact_torque_proxy,landing_contact_parts_detail,landing_contact_offsets_xy_px,landing_contact_torque_proxies,landing_dynamic_body_count,landing_other_dynamic_body_ids,narrow_landing_evaluated,narrow_landing_contact_width_px,narrow_landing_contact_source,narrow_landing_contact_offset_px,narrow_landing_angular_before,narrow_landing_angular_delta,narrow_landing_angular_after,narrow_landing_width_condition,narrow_landing_offset_condition,narrow_landing_delta_condition,narrow_landing_correction,narrow_landing_correction_applied,narrow_landing_correction_latched,narrow_landing_contact_width_latched_px,narrow_landing_contact_source_latched,narrow_landing_contact_offset_latched_px,narrow_landing_angular_before_latched,narrow_landing_angular_delta_latched,narrow_landing_angular_after_latched,narrow_landing_width_condition_latched,narrow_landing_offset_condition_latched,narrow_landing_delta_condition_latched,narrow_landing_correction_applied_latched
1,21,complete,120,59,60,8.592,8519.244,3.325,59,1,1,-0.001122,0,10.98902,0,-0.13515,0,-0.003653,-0.13515,-11.08665,-0.003653,0.13517,0.09755,0.003653,0.1910000000000025,0.10300000000000864,0.004417,0.08199999999999363,119,1,0,50,100,50,50,44,-27.266,-27.266,1.570796,-27.26613,1610,-27.266:37.711,-27.266130,1,,0,,,,0.000000,,0.000000,0,0,0,0.000000,0,,,,,,,,0,0,0,0
1,22,complete,121,60,60,3.966,1328.128,2.502,5,2,1,-0.007148,0,11.02288,0,0.02967,0,0,0.02967,-11.037,-0.020481,1.32665,0.66529,0.047687,34.41300000000001,7.9739999999999895,1.087582,0.007000000000005002,,0,1,67,134,67,70,54,-0.714,3.285,1.570796,1.28552,1680;1680,-0.714:35.545;3.285:35.516,-0.714429;3.285469,1,,1,3.125,geometry-edge,6.194,-0.047218,-0.000041,-0.047259,1,1,0,0.000000,0,,,,,,,,0,0,0,0
1,23,complete,121,60,60,3.404,1817.289,0.999,56,5,3,-0.055276,0,11.09686,0,0,0,-0.014729,-0.40885,-11.92048,-0.014729,0.66885,1.09727,0.018263,5.364000000000004,5.020000000000039,0.051302,4.6650000000000205,,0,1,71,142,71,78,70,-35.656,11.382,1.570796,-12.137008,1753;1748;1748;1751;1751,11.382:26.482;-35.656:27.082;-29.666:26.750;-34.603:28.025;-30.609:27.804,11.382348;-35.656363;-29.665527;-34.602643;-30.608752,1,,1,55.030,geometry-edge,8.042,0.000000,0.000000,0.000000,0,1,0,0.000000,0,0.493126,4.055,geometry-edge,32.422,-0.000510,0.026454,0.012899,1,1,1,1
1,24,complete,120,59,60,4.054,1448.135,12.846,7,6,3,0,0,11.0026,0,-0.33063,2.63201,0,-0.33063,-8.37059,-0.21818,1.69896,2.63201,0.111501,45.40899999999999,13.66700000000003,1.863957,0,,0,1,66,132,66,67,62,10.557,17.557,1.570796,14.056734,1819;1819;1820;1820;1821;1821,12.557:34.289;10.557:34.289;17.557:33.289;14.557:33.289;16.557:34.289;14.557:34.289,12.556734;10.556734;17.556734;14.556734;16.556734;14.556734,1,,1,41.223,geometry-edge,6.744,0.000000,0.000000,0.000000,0,1,0,0.000000,0,0.094341,7.000,geometry-edge,14.057,0.000000,-0.240907,-0.218180,1,1,1,1
1,25,complete,133,72,60,2.958,422.016,3.375,16,1,1,2.967212,0.41477,-0.39985,0.084197,0.658,-0.3583,0.022758,0.24322,0.04155,-0.061439,1.53413,1.6347,0.063623,34.647999999999996,13.050000000000011,1.1850150000000002,1.0289999999999964,,0,1,85,170,85,88,80,9.768,9.768,1.570796,9.767831,1824,9.768:35.643,9.767831,1,,1,0.938,geometry-edge,1.215,-0.055906,-0.003436,-0.059342,1,0,0,0.000000,0,0.300549,4.118,geometry-edge,12.433,0.083894,-0.039873,0.056005,1,1,1,1
1,26,complete,121,60,60,4.034,1163.861,2.725,11,1,1,0.145492,0,11.04986,0,0,3.35316,0,0.49228,-7.69669,0.192073,1.76488,3.35316,0.088894,39.466999999999985,16.064999999999998,1.546931,0,,0,1,76,152,76,82,72,-18.299,-18.299,1.570796,-18.298724,1986,-18.299:35.186,-18.298724,1,,1,42.189,geometry-edge,8.651,0.000000,-0.000000,0.000000,0,1,0,0.000000,0,0.416842,4.000,geometry-edge,15.004,0.000000,0.331188,0.193135,1,1,1,1
1,27,complete,120,59,60,4.88,2744.433,3.428,6,6,3,-0.025789,0,10.98222,0,0,0.78005,0,-1.19785,-10.20217,-0.074237,1.59309,1.10173,0.048175,17.161,5.329000000000008,0.430159,0.20199999999999818,,0,1,66,132,66,70,66,11.302,17.3,1.570796,14.300627,2051;2051;2053;2053;2054;2054,11.302:38.935;13.301:38.884;16.300:38.807;17.300:38.781;11.327:39.935;12.327:39.909,11.301625;13.300960;16.299962;17.299630;11.327412;12.327079,1,,1,47.166,geometry-edge,1.000,-0.000000,0.000000,0.000000,0,0,0,0.000000,0,0.188436,6.050,geometry-edge,14.275,-0.101524,0.033622,-0.074237,1,1,1,1
1,28,complete,121,60,60,3.352,665.675,2.082,3,1,1,0.235378,0.32419,2.99232,0.241102,0.80782,-0.46385,0.029239,0.48363,-3.45617,-0.211863,1.58161,1.98458,0.063586,44.127999999999986,16.608000000000004,1.209128,1.2800000000000296,,0,1,92,184,92,95,80,10.034,10.034,1.570796,10.033542,2145,10.034:38.465,10.033542,1,,1,0.992,geometry-edge,29.591,0.002305,0.001679,0.003984,1,1,0,0.000000,0,0.248577,3.000,geometry-edge,9.773,0.000000,0.343633,0.258214,1,1,1,1
1,29,complete,121,60,60,4.632,1624.548,2.816,3,2,1,0.047527,0,11.02965,0,0,0,0,-1.80269,-12.25798,0.134979,1.77687,2.99678,0.133045,27.22,19.15100000000001,2.013889,4.081000000000017,,0,1,83,166,83,91,70,5.995,7.993,1.570796,6.993888,2233;2233,7.993:39.449;5.995:39.354,7.992759;5.995017,1,,1,37.119,geometry-edge,14.897,-0.000000,0.000000,-0.000000,0,1,0,0.000000,0,0.187939,3.037,geometry-edge,8.636,0.074614,0.046633,0.112483,1,1,1,1
1,30,complete,128,67,60,3.614,888.625,5.169,11,3,2,-1.790602,-0.24167,3.35137,-0.196333,-0.6379,-0.42744,-0.051602,-0.39622,-3.77881,0.14473,0.94358,0.6204,0.051602,11.547999999999973,4.4739999999999895,0.5664090000000002,1.9099999999999682,,0,1,61,122,61,63,64,-9.865,-8.889,1.570796,-9.377418,2261;2261;2262,-9.865:21.276;-8.889:21.058;-8.889:21.058,-9.865388;-8.889448;-8.889448,1,,1,28.000,geometry-edge,0.283,0.000000,-0.000000,0.000000,0,0,0,0.000000,0,0.090222,5.000,geometry-edge,7.887,0.000000,-0.265259,-0.241327,1,1,1,1
