run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx
2,31,1,240,241,2,7832;7833;7834,195.000,195.098,0.098,482.111,481.352,-0.759,0.000000,0.039467,0.039467,0.411066,0.632994,0.221928,0.476020,0.540973,0.064953,0.165040,0.096644,-0.068395,4.036,9.000,8.913,0.632994,241,4.036,8.913,0.064953,-0.632994,0.165040,240,0.632994,1.044060
2,31,2,268,480,213,7828;7826;7815;7807;7806;7790,199.137,213.359,14.222,491.080,503.458,12.379,0.656043,1.324963,0.668920,0.663204,0.006755,-0.656449,1.631155,-0.002538,-1.633693,0.104154,-0.000461,-0.104615,0.938,27.610,24.872,0.254947,270,2.930,15.746,-0.214417,-0.254947,0.055242,305,0.254947,6.007307
2,32,1,242,243,2,7900;7901,195.000,194.924,-0.076,483.991,483.257,-0.734,0.000000,-0.059386,-0.059386,-0.299903,-0.470006,-0.170103,0.625995,0.694434,0.068439,-0.233781,-0.171818,0.061963,1.117,2.000,6.050,0.299903,242,2.000,3.359,-10.438976,0.299903,0.233781,242,0.299903,0.470006
2,32,2,254,385,132,7896;7894;7893;7891,193.662,159.107,-34.556,486.080,505.430,19.350,-0.520564,-1.723887,-1.203323,-0.621315,-1.495293,-0.873978,-0.179829,2.499051,2.678880,-0.061581,-0.095872,-0.034292,0.988,4.000,28.231,0.168571,254,2.232,1.980,-1.528915,0.168571,0.103926,254,0.168571,2.113544
2,32,3,387,395,9,7837;7838;7891,158.348,156.079,-2.270,505.833,506.329,0.496,-1.772502,-1.757582,0.014920,-1.457863,-0.662388,0.795475,2.184380,-0.719648,-2.904028,-0.048195,0.025148,0.073342,1.176,66.284,36.333,0.144927,395,66.284,3.913,-0.810877,-0.144927,0.047311,387,0.144927,0.827185
2,32,4,397,399,3,7891,155.753,155.440,-0.313,506.026,505.780,-0.246,-1.745203,-1.736463,0.008741,-0.637374,-0.531768,0.105606,-0.582333,-0.436491,0.145842,0.020365,0.004542,-0.015824,0.985,0.986,28.555,0.062858,399,0.986,28.424,0.072781,-0.062858,0.009501,399,0.062858,0.128235
2,32,5,407,409,3,7891,154.396,154.161,-0.236,505.532,505.629,0.097,-1.727554,-1.731021,-0.003467,-0.497945,-0.378381,0.119564,0.103593,0.240070,0.136477,-0.004086,-0.022331,-0.018245,0.987,0.988,28.341,0.081556,409,0.987,28.341,0.070184,-0.081556,0.012530,409,0.081556,0.139546
2,32,6,414,496,83,7837;7838;7891,153.684,153.364,-0.320,506.223,506.333,0.110,-1.759167,-1.756707,0.002460,-0.358970,-0.000026,0.358943,0.489324,-0.000002,-0.489326,-0.011479,-0.000000,0.011479,1.170,66.283,36.448,0.120329,419,66.283,3.921,-0.045760,-0.120329,0.017145,416,0.120329,0.455115
2,33,1,245,488,244,7963;7962;7952;7951;7920;7921,195.000,205.344,10.344,489.996,494.897,4.901,0.000000,0.412743,0.412743,0.104074,-0.072799,-0.176873,2.531502,-0.042332,-2.573834,0.109073,-0.002786,-0.111859,0.422,32.187,27.276,1.845631,253,6.081,11.799,0.023600,-1.845631,0.109073,245,1.845631,7.874401
2,34,1,241,484,244,8039;8038;8034;8031;8004,195.000,223.273,28.273,484.896,492.814,7.918,0.000000,0.881208,0.881208,0.112030,-0.000000,-0.112031,3.101229,0.000000,-3.101229,0.057102,-0.000000,-0.057102,0.298,38.415,20.860,1.020457,245,2.056,19.229,-0.047324,-1.020457,0.057102,241,1.020457,5.543192
2,35,1,247,248,2,8078;8079,195.000,194.815,-0.185,503.760,503.327,-0.433,0.000000,-0.010427,-0.010427,-0.729489,-0.724807,0.004682,-0.014726,0.056164,0.070890,-0.041049,-0.040919,0.000129,5.010,14.000,8.968,0.729489,247,14.000,6.288,-11.267180,0.729489,0.041049,247,0.729489,0.734170
2,35,2,253,488,236,8079;8078;8077;8067;8073,193.912,190.261,-3.651,503.677,504.524,0.847,-0.061404,-0.279897,-0.218493,-0.708423,-0.150447,0.557975,0.300862,-0.267187,-0.568049,-0.040841,-0.009120,0.031720,0.182,29.398,29.432,0.269480,274,29.398,14.854,-0.720995,-0.269480,0.016405,274,0.269480,1.921165
