run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
3,31,1,240,241,2,15455;15456;15457;15458,195.000,195.105,0.105,481.610,482.009,0.399,0.000000,0.116490,0.116490,0.413937,0.511947,0.098010,1.698398,1.762735,0.064337,0.458576,0.305214,-0.153362,4.089,7.000,11.894,0.511947,241,4.089,11.894,0.064337,-0.511947,0.458576,240,0.511947,0.925884,2
3,31,2,267,480,214,15363;15364;15367;15368;15369;15370;15373;15374;15401;15402;15403;15404;15420,198.274,181.376,-16.898,497.357,503.506,6.148,2.005771,1.312774,-0.692997,0.192235,-0.000001,-0.192237,1.365856,-0.000000,-1.365856,0.125605,-0.000000,-0.125606,0.877,27.607,24.726,0.429168,268,3.579,22.075,-1.123296,0.429168,0.152225,267,0.429168,5.000701,16
3,32,1,242,242,1,15589;15590,195.000,195.000,0.000,482.991,482.991,0.000,0.000000,0.000000,0.000000,-0.283898,-0.283898,0.000000,1.208535,1.208535,0.000000,-0.343378,-0.343378,0.000000,1.000,1.000,3.859,0.283898,242,1.000,3.859,-9.849717,0.283898,0.343378,242,0.283898,0.283898,1
3,32,2,251,251,1,15579;15580,194.373,194.373,0.000,486.437,486.437,0.000,-0.758256,-0.758256,0.000000,-0.489577,-0.489577,0.000000,1.450097,1.450097,0.000000,-0.252750,-0.252750,0.000000,2.140,2.140,6.087,0.214126,251,2.140,6.087,-0.273502,0.214126,0.080410,251,0.214126,0.214126,1
3,32,3,272,512,241,15461;15462;15463;15464;15465;15569;15570;15573;15574;15575;15576;15579,191.893,199.275,7.383,497.080,506.333,9.254,-2.038781,-1.756588,0.282193,-0.407032,-0.000028,0.407004,2.075786,-0.000025,-2.075811,-0.143149,0.000001,0.143150,0.983,69.227,36.476,0.295541,277,2.232,29.353,-0.236455,-0.295541,0.091217,272,0.295541,2.887486,14
3,33,1,245,247,3,15711;15712;15710,195.000,195.216,0.216,489.997,491.331,1.333,0.000000,0.081574,0.081574,0.212500,1.054253,0.841753,3.652317,0.942936,-2.709381,0.156862,0.159398,0.002536,5.000,16.110,18.139,0.426312,246,5.036,18.139,-1.043399,-0.426312,0.156862,245,0.426312,1.054253,3
3,33,2,259,261,3,15690,198.303,198.988,0.685,495.309,495.121,-0.188,0.548269,0.609416,0.061148,1.185327,1.721721,0.536393,-0.506638,-0.361374,0.145264,0.128541,0.101279,-0.027262,0.521,0.572,3.957,0.325290,260,0.549,3.129,0.072771,-0.325290,0.024415,259,0.325290,0.710073,3
3,33,3,273,500,228,15626;15628;15624;15688;15690;15710,204.029,193.037,-10.991,495.323,495.196,-0.127,0.905947,0.432153,-0.473794,1.586591,-0.690454,-2.277045,-0.872062,-0.357260,0.514801,0.078055,-0.022774,-0.100830,0.424,32.178,27.257,0.149314,274,2.998,26.054,-0.546700,0.149314,0.019130,273,0.149314,4.129377,14
3,34,1,241,242,2,15861;15862;15860,195.000,195.043,0.043,484.894,485.450,0.555,0.000000,0.018296,0.018296,0.181357,0.709680,0.528323,4.165052,0.180062,-3.984991,0.076507,0.099203,0.022696,2.000,17.034,17.145,0.528323,242,17.034,10.286,-3.984991,-0.528323,0.076507,241,0.528323,0.709680,2
3,34,2,256,496,241,15852;15846;15792,197.445,214.429,16.984,487.818,492.817,4.999,0.354021,0.879643,0.525622,0.832058,-0.000000,-0.832058,0.253483,0.000000,-0.253483,0.088059,-0.000000,-0.088059,0.347,38.416,20.816,0.229333,257,0.368,3.391,0.003195,-0.229333,0.044078,298,0.229333,3.928349,9
3,35,1,247,488,242,15937;15938;15939;15940;15935;15936;15915;15916;15927;15928,195.000,190.304,-4.696,503.759,504.583,0.824,0.000000,-0.277538,-0.277538,0.114433,0.000808,-0.113625,-0.077430,0.000010,0.077441,0.006363,0.000049,-0.006314,0.185,29.395,29.435,0.182367,337,29.394,14.920,-0.319449,-0.182367,0.011078,337,0.182367,1.563128,18
