piece,compound_mode,asset,image_width,image_height,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,triangles,assets/01.png,817,826,4.34800,1183.503,7.415,3.000,1.0110,176,176,88,91,83
2,triangles,assets/02.png,842,1101,4.14400,647.868,3.723,6.000,1.3076,166,166,83,90,76
3,triangles,assets/03.png,963,1070,6.21800,1787.188,8.535,8.000,1.1111,178,178,89,93,68
4,triangles,assets/04.png,746,1407,2.63600,252.529,10.821,9.000,1.8861,108,108,54,54,62
5,triangles,assets/05.png,561,900,4.20200,612.222,0.519,9.000,1.6043,168,168,84,91,85
6,triangles,assets/06.png,849,1323,4.95600,1169.741,4.805,35.000,1.5583,126,126,63,66,67
7,triangles,assets/07.png,1209,1536,4.74000,1221.221,2.853,4.000,1.2705,204,204,102,107,84
8,triangles,assets/08.png,835,1190,5.50800,1711.131,2.475,5.000,1.4251,136,136,68,69,57
9,triangles,assets/09.png,1025,1085,5.03800,1780.562,2.201,5.000,1.0585,156,156,78,82,79
10,triangles,assets/10.png,1223,1127,6.51000,3431.749,3.157,50.000,1.0852,194,194,97,102,84
11,triangles,assets/11.png,1473,1536,7.92000,5698.576,7.191,25.000,1.0428,156,156,78,80,67
12,triangles,assets/12.PNG,1170,1395,3.71800,1734.188,4.837,6.000,1.1923,130,130,65,66,71
13,triangles,assets/13.png,976,610,4.53600,2654.165,4.575,14.000,1.6000,114,114,57,60,65
14,triangles,assets/14.png,1425,1536,7.56600,4734.251,6.276,25.000,1.0779,142,142,71,80,78
15,triangles,assets/15.png,988,1498,5.81400,2395.536,4.465,13.000,1.5162,110,110,55,55,49
16,triangles,assets/16.png,1536,757,3.30600,2398.072,6.323,12.000,2.0291,98,98,49,49,48
17,triangles,assets/17.png,1016,703,5.48000,3753.313,2.731,19.000,1.4452,116,116,58,59,60
18,triangles,assets/18.png,757,1536,3.56200,420.058,1.933,18.000,2.0291,172,172,86,97,82
19,triangles,assets/19.png,816,1536,4.00600,699.452,2.425,8.000,1.8824,144,144,72,73,59
20,triangles,assets/20.png,885,1536,4.24600,701.735,1.069,5.000,1.7356,244,244,122,127,82
21,triangles,assets/21.png,1177,1536,8.59200,5679.496,3.325,59.000,1.3050,100,100,50,50,44
22,triangles,assets/22.PNG,976,1338,3.96600,885.419,2.502,5.000,1.3709,134,134,67,70,54
23,triangles,assets/23.PNG,630,531,3.40400,1211.526,0.999,56.000,1.1864,142,142,71,78,70
24,triangles,assets/24.PNG,522,575,4.05400,965.423,12.846,7.000,1.1015,132,132,66,67,62
25,triangles,assets/25.PNG,678,1242,2.95800,281.344,3.375,16.000,1.8319,170,170,85,88,80
26,triangles,assets/26.PNG,561,912,4.03400,775.908,2.725,11.000,1.6257,152,152,76,82,72
27,triangles,assets/27.PNG,738,852,4.88000,1829.622,3.428,6.000,1.1545,132,132,66,70,66
28,triangles,assets/28.PNG,1135,1600,3.35200,443.783,2.082,3.000,1.4097,184,184,92,95,80
29,triangles,assets/29.PNG,1071,1600,4.63200,1083.032,2.816,3.000,1.4939,166,166,83,91,70
30,triangles,assets/30.PNG,621,1050,3.61400,592.417,5.169,11.000,1.6908,122,122,61,63,64
31,triangles,assets/31.PNG,732,1382,3.29200,394.823,0.868,7.000,1.8880,116,116,58,65,67
32,triangles,assets/32.PNG,730,1476,2.09200,136.338,2.907,1.000,2.0219,130,130,65,69,61
33,triangles,assets/33.PNG,366,316,4.17400,2240.298,4.337,18.000,1.1582,120,120,60,61,58
34,triangles,assets/34.PNG,455,525,5.67800,2634.926,3.007,18.000,1.1538,148,148,74,79,73
35,triangles,assets/35.PNG,1600,755,3.64800,2813.325,2.161,14.000,2.1192,76,76,38,38,48
36,triangles,assets/36.PNG,1153,1600,4.75600,1475.346,1.122,5.000,1.3877,126,126,63,63,48
37,triangles,assets/37.PNG,1040,1600,3.77600,638.604,2.374,13.000,1.5385,142,142,71,83,62
