run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
3,11,1,1,241,START,11800,16.000,1.004,0.000000,-0.033092,-0.033092,11.063311,0.004070,-11.059241,0.000000,-0.004345,-0.004345,-11.059241,0.033092,195.000,0.000000,0.000,0.000000,2,2
3,12,1,1,245,START,11873;11876,6.000,17.727,0.000000,0.320448,0.320448,11.143550,2.868190,-8.275359,0.000000,0.144766,0.144766,-8.275359,-0.320448,195.000,0.000000,0.000,0.000000,4,4
3,12,1,2,246,PART_CHANGE+WIDTH_CHANGE+RESPONSE,11873,4.032,18.720,0.320448,0.633753,0.313304,2.868190,2.418584,-0.449606,0.144766,0.143372,-0.001394,-0.449606,-0.313304,195.077,0.034619,0.077,0.034619,2,2
3,12,1,3,247,RESPONSE,11873,4.059,19.682,0.633753,0.966738,0.332985,2.418584,2.355236,-0.063348,0.143372,0.132344,-0.011028,-0.063348,-0.332985,195.228,0.068904,0.228,0.068904,1,2
3,12,1,4,248,RESPONSE,11873,4.080,20.549,0.966738,1.456509,0.489771,2.355236,2.201551,-0.153685,0.132344,0.117923,-0.014421,-0.153685,-0.489771,195.459,0.100553,0.459,0.100553,1,2
3,12,1,5,249,RESPONSE,11873,4.096,21.350,0.000000,1.772397,1.772397,2.201551,2.118883,-0.082668,0.000000,0.055811,0.055811,-0.082668,-1.772397,195.829,0.130508,0.829,0.130508,1,2
3,12,1,6,253,RESPONSE,11873,4.119,23.122,0.000000,1.881743,1.881743,1.504489,1.550665,0.046176,0.000000,0.037552,0.037552,0.046176,-1.881743,197.734,0.199456,2.734,0.199456,1,2
3,12,1,7,257,RESPONSE,11873,4.123,24.383,0.000000,1.603369,1.603369,1.302156,1.352837,0.050681,0.000000,0.030895,0.030895,0.050681,-1.603369,199.487,0.251342,4.487,0.251342,1,2
3,12,1,8,261,RESPONSE,11873,4.118,25.371,0.000000,1.336290,1.336290,1.166040,1.215405,0.049365,0.000000,0.026510,0.026510,0.049365,-1.336290,200.918,0.294036,5.918,0.294036,1,2
3,12,1,9,265,RESPONSE,11873,4.107,26.230,0.000000,1.118962,1.118962,1.063768,1.108796,0.045028,0.000000,0.023233,0.023233,0.045028,-1.118962,202.169,0.332861,7.169,0.332861,1,2
3,12,1,10,267,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,11873;11916,50.920,3.141,1.049320,0.752939,-0.296381,0.879160,-0.197979,-1.077140,0.035687,0.008934,-0.026752,-1.077140,0.296381,202.719,0.347828,7.719,0.347828,2,4
3,12,1,11,268,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11916,0.343,22.099,0.752939,0.637349,-0.115590,-0.197979,-0.213976,-0.015996,0.008934,0.009760,0.000826,-0.015996,0.115590,202.911,0.350097,7.911,0.350097,1,2
3,12,1,12,269,RESPONSE,11916,0.345,22.048,0.000000,0.548656,0.548656,0.000000,-0.221825,-0.221825,0.009760,0.010141,0.000381,-0.221825,-0.548656,203.063,0.352431,8.063,0.352431,1,2
3,12,1,13,300,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11873;11916,50.920,3.150,-0.227531,-0.158786,0.068745,0.291733,-0.036295,-0.328028,-0.013323,-0.001463,0.011860,-0.328028,-0.068745,203.752,0.348258,8.752,0.348258,2,4
3,12,1,14,302,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11873,4.102,26.541,-0.045493,-0.023691,0.021802,-0.050560,-0.026290,0.024270,-0.002034,-0.001059,0.000975,0.024270,-0.021802,203.700,0.347370,8.700,0.347370,1,2
3,12,1,15,307,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11873;11916,50.920,3.155,0.062795,0.003629,-0.059165,0.069712,-0.003567,-0.073278,0.002807,0.000162,-0.002644,-0.073278,0.059165,203.725,0.348484,8.725,0.348484,2,4
3,13,1,1,245,START,11934;11935;11954;11957,25.000,6.391,0.000000,-0.157676,-0.157676,11.209760,-0.040604,-11.250364,0.000000,-0.006675,-0.006675,-11.250364,0.157676,195.000,0.000000,0.000,0.000000,8,8
3,13,1,2,246,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11934;11935,7.002,3.430,-0.157676,-0.156419,0.001256,-0.040604,-0.000415,0.040189,-0.006675,-0.006666,0.000010,0.040189,-0.001256,194.960,-0.001696,-0.040,-0.001696,4,4
3,13,1,3,254,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11934,2.015,1.233,-0.153100,-0.152811,0.000289,0.001328,0.001567,0.000238,-0.006522,-0.006510,0.000012,0.000238,-0.000289,194.651,-0.014900,-0.349,-0.014900,2,2
3,13,1,4,342,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11934;11937,37.851,12.440,-0.294599,-0.236691,0.057908,0.056901,-0.145593,-0.202494,-0.012774,-0.004671,0.008103,-0.202494,-0.057908,190.366,-0.198507,-4.634,-0.198507,2,4
3,13,1,5,343,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11937,4.119,29.281,-0.236691,-0.209381,0.027310,-0.145593,-0.120334,0.025259,-0.004671,-0.003864,0.000808,0.025259,-0.027310,190.310,-0.199625,-4.690,-0.199625,1,2
3,13,1,6,354,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11934;11937,37.851,12.454,0.021444,0.063667,0.042223,0.160201,-0.012458,-0.172659,0.005143,0.002763,-0.002380,-0.172659,-0.042223,190.060,-0.197886,-4.940,-0.197886,2,4
3,13,1,7,358,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,11934,2.156,5.339,0.048024,0.043021,-0.005003,-0.009303,-0.008311,0.000992,0.002081,0.001867,-0.000214,0.000992,0.005003,190.115,-0.195495,-4.885,-0.195495,1,2
