run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
5,6,1,1,239,START,5892;5894;5906;5910;5912,35.000,0.422,0.000000,-0.543606,-0.543606,11.022865,-1.200661,-12.223526,0.000000,-0.065341,-0.065341,-12.223526,0.543606,195.000,0.000000,0.000,0.000000,10,10
5,6,1,2,240,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,5906;5910,12.030,10.429,-0.543606,-0.242658,0.300948,-1.200661,-1.450450,-0.249789,-0.065341,-0.086649,-0.021308,-0.249789,-0.300948,194.870,-0.015625,-0.130,-0.015625,4,4
5,6,1,3,241,PART_CHANGE+RESPONSE,5906,11.030,8.992,-0.242658,0.035539,0.278198,0.000000,-1.638312,-1.638312,0.000000,-0.109017,-0.109017,-1.638312,-0.278198,194.808,-0.037636,-0.192,-0.037636,2,2
5,6,2,1,309,START,5951,1.995,15.603,0.014207,-0.086484,-0.100692,2.855638,1.780940,-1.074698,-0.083068,-0.095797,-0.012729,-1.074698,0.100692,195.087,-1.640964,0.000,0.000000,1,2
5,6,2,2,310,RESPONSE,5951,1.991,16.287,-0.086484,-0.283941,-0.197457,1.780940,1.467583,-0.313357,-0.095797,-0.094951,0.000846,-0.313357,0.197457,195.066,-1.663873,-0.021,-0.022908,1,2
5,6,2,3,311,RESPONSE,5951,1.987,16.957,-0.283941,-0.574463,-0.290522,1.467583,1.302218,-0.165365,-0.094951,-0.080597,0.014353,-0.165365,0.290522,194.998,-1.686579,-0.089,-0.045615,1,2
5,6,2,4,312,RESPONSE,5951,1.982,17.519,-0.574463,-0.818137,-0.243674,1.302218,1.155189,-0.147029,-0.080597,-0.069853,0.010744,-0.147029,0.243674,194.861,-1.705853,-0.226,-0.064888,1,2
5,6,2,5,313,RESPONSE,5951,1.977,18.031,-0.818137,-0.983127,-0.164989,1.155189,1.073955,-0.081233,-0.069853,-0.063008,0.006845,-0.081233,0.164989,194.653,-1.723597,-0.434,-0.082633,1,2
5,6,2,6,334,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,5924;5925;5926;5928;5951,54.123,0.425,-1.439917,-1.147117,0.292800,1.545417,-0.014986,-1.560402,-0.063088,-0.001298,0.061790,-1.560402,-0.292800,187.628,-2.025422,-7.459,-0.384457,5,10
5,6,2,7,335,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5926,1.797,23.008,-1.147117,-1.019624,0.127493,-0.014986,-0.048329,-0.033344,-0.001298,-0.002521,-0.001223,-0.033344,-0.127493,187.354,-2.025732,-7.733,-0.384768,1,2
5,6,2,8,336,RESPONSE,5926,1.796,22.994,-1.019624,-0.861452,0.158172,-0.048329,-0.102371,-0.054042,-0.002521,-0.004359,-0.001839,-0.054042,-0.158172,187.110,-2.026335,-7.977,-0.385370,1,2
5,6,2,9,362,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5926;5951,50.561,1.123,0.201888,0.145288,-0.056600,0.347246,-0.004986,-0.352233,0.014420,0.000203,-0.014217,-0.352233,0.056600,185.891,-2.014713,-9.196,-0.373749,2,4
5,6,2,10,364,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5951,1.806,25.493,0.030980,0.009183,-0.021797,-0.028168,0.001748,0.029916,0.001260,0.000087,-0.001172,0.029916,0.021797,185.933,-2.014364,-9.154,-0.373399,1,2
5,6,2,11,368,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5926;5951,50.560,1.153,-0.077169,-0.055406,0.021763,0.083606,0.000123,-0.083484,-0.003398,0.000061,0.003459,-0.083484,-0.021763,185.897,-2.016036,-9.190,-0.375071,2,4
5,7,1,1,239,START,5955;5961;5966,5.000,12.603,0.000000,0.365879,0.365879,11.005937,2.539921,-8.466016,0.000000,0.182991,0.182991,-8.466016,-0.365879,195.000,0.000000,0.000,0.000000,6,6
5,7,1,2,240,PART_CHANGE+OFFSET_CHANGE+RESPONSE,5955;5961,4.042,15.054,0.365879,0.605153,0.239273,2.539921,2.225531,-0.314390,0.182991,0.168434,-0.014558,-0.314390,-0.239273,195.093,0.046484,0.093,0.046484,3,4
5,7,1,3,241,PART_CHANGE+WIDTH_CHANGE+RESPONSE,5955,2.081,16.910,0.000000,0.821822,0.821822,2.225531,2.287852,0.062321,0.000000,0.043120,0.043120,0.062321,-0.821822,195.247,0.089271,0.247,0.089271,2,2
5,7,1,4,242,RESPONSE,5955,2.090,17.369,0.821822,1.006938,0.185116,2.287852,1.254362,-1.033489,0.043120,0.051400,0.008280,-1.033489,-0.185116,195.455,0.100224,0.455,0.100224,2,2
5,7,1,5,243,RESPONSE,5955,2.100,17.912,1.006938,1.198743,0.191805,1.254362,0.863388,-0.390975,0.051400,0.049943,-0.001457,-0.390975,-0.191805,195.711,0.113281,0.711,0.113281,1,2
5,7,1,6,245,RESPONSE,5955,2.118,18.885,0.000000,1.373806,1.373806,0.770882,0.752500,-0.018381,0.000000,0.012212,0.012212,-0.018381,-1.373806,196.327,0.136827,1.327,0.136827,1,2
5,7,1,7,262,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5955;5958,42.720,4.373,1.439736,1.315020,-0.124716,0.928504,-0.078428,-1.006932,0.040631,0.006027,-0.034604,-1.006932,0.124716,202.120,0.282050,7.120,0.282050,2,4
5,7,1,8,263,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5958,3.160,15.348,1.315020,1.171797,-0.143223,-0.078428,-0.208383,-0.129955,0.006027,0.011289,0.005262,-0.129955,0.143223,202.454,0.283581,7.454,0.283581,1,2
5,7,1,9,354,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5955;5958,42.717,4.049,-0.593271,-0.492320,0.100951,0.311546,-0.055604,-0.367150,-0.019628,-0.003204,0.016424,-0.367150,-0.100951,206.314,0.273529,11.314,0.273529,2,4
5,7,1,10,355,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5955,2.195,24.280,-0.492320,-0.435847,0.056473,-0.055604,-0.088273,-0.032669,-0.003204,-0.002660,0.000544,-0.032669,-0.056473,206.196,0.272763,11.196,0.272763,1,2
5,7,1,11,371,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5955;5958,42.718,4.102,0.016479,0.018660,0.002181,0.099964,0.017105,-0.082859,0.005071,0.000154,-0.004917,-0.082859,-0.002181,205.426,0.274927,10.426,0.274927,2,4
5,7,1,12,382,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5958,3.159,15.580,-0.013413,-0.020352,-0.006939,0.008067,0.018384,0.010318,0.001843,0.000079,-0.001764,0.010318,0.006939,205.408,0.277489,10.408,0.277489,1,2
5,7,1,13,386,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,5955;5958,42.718,4.118,-0.058128,-0.033512,0.024616,0.027038,-0.001400,-0.028438,-0.004607,-0.000999,0.003608,-0.028438,-0.024616,205.369,0.275342,10.369,0.275342,2,4
5,8,1,1,242,START,6059;6060;6062,6.000,24.468,0.000000,0.225666,0.225666,11.031281,5.780044,-5.251238,0.000000,0.197405,0.197405,-5.251238,-0.225666,195.000,0.000000,0.000,0.000000,6,6
5,8,1,2,243,PART_CHANGE+OFFSET_CHANGE,6059;6060,5.044,26.926,0.225666,0.365991,0.140325,5.780044,5.281538,-0.498506,0.197405,0.213438,0.016033,-0.498506,-0.140325,195.057,0.050146,0.057,0.050146,4,4
5,8,1,3,244,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6059,2.093,29.568,0.365991,0.497323,0.131332,5.281538,5.332169,0.050631,0.213438,0.201708,-0.011730,0.050631,-0.131332,195.150,0.104364,0.150,0.104364,2,2
5,8,2,1,252,START,6085;6095;6120;6123;6124,23.302,1.715,0.484596,1.219650,0.735054,5.669606,-1.692320,-7.361926,0.196547,0.130303,-0.066243,-7.361926,-0.735054,196.119,0.497132,0.000,0.000000,5,10
5,8,2,2,253,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,6120;6123,2.737,9.735,1.219650,1.665184,0.445534,-1.692320,-1.615014,0.077306,0.130303,0.109633,-0.020670,0.077306,-0.445534,196.429,0.530232,0.310,0.033100,2,4
5,8,2,3,254,PART_CHANGE+WIDTH_CHANGE+RESPONSE,6123,0.530,10.066,1.665184,1.837429,0.172245,-1.615014,-1.538003,0.077011,0.109633,0.098199,-0.011434,0.077011,-0.172245,196.852,0.558082,0.733,0.060950,1,2
5,8,3,1,302,START,6096,1.996,28.196,1.540121,1.485961,-0.054160,1.707272,0.275643,-1.431629,0.082310,0.054921,-0.027389,-1.431629,0.054160,216.989,1.634299,0.000,0.000000,1,2
5,8,3,2,377,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,6096;6108;6109;6125,47.043,6.209,-0.761085,-0.346398,0.414687,0.986124,-0.236947,-1.223071,-0.033417,-0.014769,0.018648,-1.223071,-0.414687,219.380,1.613801,2.391,-0.020498,7,8
5,8,3,3,378,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6108;6125,4.996,13.718,-0.346398,-0.360220,-0.013822,-0.236947,-0.183149,0.053797,-0.014769,-0.013355,0.001413,0.053797,0.013822,219.292,1.610049,2.303,-0.024250,3,4
5,8,3,4,390,PART_CHANGE+WIDTH_CHANGE,6108;6109;6125,6.000,13.464,-0.154405,-0.107861,0.046543,-0.073569,-0.108298,-0.034729,-0.005872,-0.005239,0.000633,-0.034729,-0.046543,218.528,1.581273,1.539,-0.053026,5,6
5,8,3,5,408,PART_CHANGE+WIDTH_CHANGE,6108;6125,4.999,13.085,0.165462,0.191349,0.025888,0.066232,0.088674,0.022442,0.006238,0.005783,-0.000455,0.022442,-0.025888,218.652,1.585846,1.663,-0.048452,3,4
5,8,3,6,418,PART_CHANGE+WIDTH_CHANGE,6125,1.999,12.193,0.311280,0.316094,0.004814,0.132395,0.135449,0.003055,0.011914,0.013055,0.001141,0.003055,-0.004814,219.270,1.609040,2.281,-0.025259,1,2
5,8,3,7,422,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6096;6125,43.046,7.996,0.364919,0.272749,-0.092171,0.160385,-0.049211,-0.209595,0.014300,0.002190,-0.012110,-0.209595,0.092171,219.615,1.621926,2.626,-0.012372,3,4
5,8,3,8,423,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6096,1.997,28.506,0.272749,0.233880,-0.038869,-0.049211,-0.029823,0.019388,0.002190,0.001031,-0.001160,0.019388,0.038869,219.684,1.622483,2.695,-0.011816,1,2
5,8,3,9,430,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6096;6125,43.046,8.058,0.040420,0.000045,-0.040375,0.134006,0.000020,-0.133987,-0.004529,0.000002,0.004532,-0.133987,0.040375,219.920,1.619523,2.931,-0.014776,2,4
5,9,1,1,238,START,6130,3.000,32.175,0.000000,0.054082,0.054082,11.004259,7.133732,-3.870527,0.000000,0.086720,0.086720,-3.870527,-0.054082,195.000,0.000000,0.000,0.000000,2,2
5,9,1,2,239,PART_CHANGE+WIDTH_CHANGE+RESPONSE,6130;6132,5.021,33.064,0.054082,0.173211,0.119129,7.133732,5.519452,-1.614280,0.086720,0.144468,0.057748,-1.614280,-0.119129,195.014,0.022029,0.014,0.022029,4,4
5,9,1,3,240,PART_CHANGE+WIDTH_CHANGE,6130,3.054,34.568,0.173211,0.288080,0.114869,5.519452,5.226321,-0.293130,0.144468,0.156545,0.012077,-0.293130,-0.114869,195.058,0.058728,0.058,0.058728,2,2
5,9,1,4,241,RESPONSE,6130,3.084,36.122,0.288080,0.403942,0.115861,5.226321,5.231321,0.004999,0.000000,0.057952,0.057952,0.004999,-0.115861,195.131,0.098494,0.131,0.098494,1,2
5,9,1,5,242,RESPONSE,6130,3.094,36.683,0.403942,0.625090,0.221148,5.231321,4.177957,-1.053364,0.057952,0.081004,0.023053,-1.053364,-0.221148,195.234,0.113215,0.234,0.113215,2,2
5,9,1,6,243,RESPONSE,6130,3.107,37.454,0.625090,0.819673,0.194584,4.177957,3.706980,-0.470977,0.081004,0.089315,0.008310,-0.470977,-0.194584,195.392,0.133792,0.392,0.133792,1,2
5,9,1,7,244,RESPONSE,6130,3.119,38.285,0.819673,1.064573,0.244900,3.706980,3.454273,-0.252707,0.089315,0.093215,0.003900,-0.252707,-0.244900,195.601,0.156480,0.601,0.156480,1,2
5,9,1,8,245,RESPONSE,6130,3.130,39.082,0.288080,1.368101,1.080021,3.454273,3.295929,-0.158345,0.000000,0.034064,0.034064,-0.158345,-1.080021,195.855,0.178771,0.855,0.178771,1,2
5,9,1,9,246,RESPONSE,6130,3.134,39.369,1.368101,1.530750,0.162649,3.295929,2.585106,-0.710823,0.034064,0.051073,0.017009,-0.710823,-0.162649,196.182,0.186917,1.182,0.186917,1,2
5,9,1,10,249,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,6130;6148,33.955,25.424,0.288080,2.149989,1.861909,2.388744,0.546106,-1.842638,0.000000,0.062915,0.062915,-1.842638,-1.861909,197.367,0.229593,2.367,0.229593,2,4
5,9,1,11,250,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,6148,9.943,13.948,2.149989,2.160921,0.010931,0.546106,0.585798,0.039692,0.062915,0.061951,-0.000964,0.039692,-0.010931,197.914,0.245575,2.914,0.245575,1,2
5,9,1,12,251,WIDTH_CHANGE+OFFSET_CHANGE,6148,0.258,9.624,2.160921,2.146303,-0.014618,0.585798,0.618241,0.032443,0.061951,0.062785,0.000834,0.032443,0.014618,198.462,0.261312,3.462,0.261312,1,2
5,9,1,13,253,RESPONSE,6148,0.289,10.688,0.288080,2.116402,1.828322,0.652386,0.683503,0.031118,0.000000,0.035076,0.035076,0.031118,-1.828322,199.550,0.293350,4.550,0.293350,1,2
5,9,1,14,274,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,6148;6202,34.115,3.057,1.818289,1.627309,-0.190980,1.224254,-0.397690,-1.621943,0.062441,0.033093,-0.029347,-1.621943,0.190980,209.326,0.588366,14.326,0.588366,2,4
