run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
5,31,1,242,242,1,7783,195.000,195.000,0.000,481.111,481.111,0.000,0.000000,0.000000,0.000000,0.122231,0.122231,0.000000,1.822221,1.822221,0.000000,0.298354,0.298354,0.000000,4.000,4.000,7.363,0.122231,242,4.000,7.363,-9.208884,-0.122231,0.298354,242,0.122231,0.122231,1
5,31,2,269,512,244,7816;7801;7809;7818;7834;7830;7817,195.785,182.126,-13.659,498.980,503.518,4.537,1.915539,1.315123,-0.600416,0.078009,0.000000,-0.078009,1.063939,0.000000,-1.063939,0.176307,-0.000000,-0.176307,0.857,27.611,24.757,0.327587,271,3.552,23.298,-0.249649,-0.327587,0.094240,269,0.327587,5.868521,16
5,32,1,243,243,1,7844,195.000,195.000,0.000,482.991,482.991,0.000,0.000000,0.000000,0.000000,-0.138110,-0.138110,0.000000,1.175566,1.175566,0.000000,-0.334312,-0.334312,0.000000,1.000,1.000,3.859,0.138110,243,1.000,3.859,-9.884212,0.138110,0.334312,243,0.138110,0.138110,1
5,32,2,252,252,1,7842,194.697,194.697,0.000,486.308,486.308,0.000,-0.733406,-0.733406,0.000000,-0.263609,-0.263609,0.000000,1.443385,1.443385,0.000000,-0.292689,-0.292689,0.000000,2.155,2.155,5.252,0.129578,252,2.155,5.252,-0.244425,0.129578,0.031749,252,0.129578,0.129578,1
5,32,3,271,284,14,7837;7838;7839,193.482,197.784,4.301,495.537,490.026,-5.510,-2.082194,-2.272872,-0.190678,-0.213239,1.783091,1.996331,1.537181,-0.906247,-2.443428,-0.175875,-0.023958,0.151917,1.392,3.397,29.613,0.492386,272,3.397,27.890,-1.059217,-0.492386,0.097551,271,0.492386,2.160814,6
5,32,4,293,294,2,7837,201.695,202.126,0.431,488.769,488.702,-0.067,-2.325431,-2.328183,-0.002752,1.696114,1.633279,-0.062835,-0.277603,-0.205708,0.071895,-0.010832,0.007841,0.018673,1.414,1.414,23.131,0.062835,294,1.414,23.044,0.071895,0.062835,0.018673,294,0.062835,0.097538,1
5,32,5,305,306,2,7837,206.510,206.901,0.391,489.199,489.336,0.137,-2.307137,-2.301264,0.005873,1.540359,1.480994,-0.059364,0.522856,0.591689,0.068833,0.023121,0.040367,0.017246,1.412,1.413,23.887,0.059364,306,1.412,23.887,0.068833,0.059364,0.017246,306,0.059364,0.092297,1
5,32,6,318,343,26,7837,211.238,220.120,8.882,492.379,504.875,12.496,-2.183076,-1.796005,0.387070,1.411578,1.298984,-0.112594,1.350065,2.732993,1.382928,0.048770,0.080391,0.031621,1.198,1.393,35.899,0.020232,343,1.198,35.899,0.060611,0.020232,0.010034,318,0.020232,0.235553,1
5,32,7,345,492,148,7866;7837;7838;7842;7849;7854,220.778,222.735,1.957,506.311,506.334,0.023,-1.755241,-1.756379,-0.001138,1.269149,-0.000013,-1.269162,2.287093,-0.000002,-2.287094,0.031850,-0.000000,-0.031851,0.983,69.226,29.580,0.138474,353,0.983,28.700,-0.000907,0.138474,0.048233,345,0.138474,1.335141,6
5,33,1,245,488,244,7908;7913;7912;7917;7961;7963,195.000,205.521,10.521,489.997,494.902,4.905,0.000000,0.413137,0.413137,0.117490,-0.122760,-0.240250,2.527599,-0.071449,-2.599048,0.108811,-0.004700,-0.113511,0.423,33.577,27.321,1.870282,253,6.082,11.729,0.025144,-1.870282,0.108811,245,1.870282,8.069662,21
5,34,1,244,245,2,7968;7970;7971;7973;7980,195.000,195.185,0.185,486.096,485.791,-0.305,0.000000,0.042070,0.042070,0.727932,1.315559,0.587627,0.027242,0.097971,0.070729,0.165615,0.135174,-0.030441,17.069,20.000,11.114,1.315559,245,17.069,11.114,0.070729,-1.315559,0.165615,244,1.315559,2.043491,2
5,34,2,272,484,213,8029;8032;8033;7969;7976,203.631,245.956,42.325,492.509,487.351,-5.157,0.909935,2.155794,1.245858,1.203664,-0.022492,-1.226156,-0.865180,0.015445,0.880625,0.098463,0.001476,-0.096987,0.818,41.998,25.495,0.265707,383,41.998,7.032,-0.909520,0.265707,0.024616,383,0.265707,4.547281,12
5,35,1,250,251,2,8043;8047,195.000,194.739,-0.261,503.759,503.354,-0.405,0.000000,-0.014824,-0.014824,-1.091570,-1.088527,0.003043,-0.041757,0.025060,0.066817,-0.061991,-0.061752,0.000240,5.014,14.000,9.043,1.091570,250,14.000,6.288,-11.297193,1.091570,0.061991,250,1.091570,1.094612,2
5,35,2,261,504,244,8047;8049;8055;8073;8075;8043,192.052,192.273,0.221,504.374,504.353,-0.022,-0.167240,-0.154948,0.012292,-1.015375,-0.389460,0.625915,0.127401,0.044011,-0.083390,-0.060984,-0.023357,0.037627,0.181,29.403,29.313,0.338767,269,29.403,14.750,-1.067616,-0.338767,0.022873,269,0.338767,2.589051,15
