piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,angular_velocity,angle,sleeping,ground_contact,contact_width_px,contact_center_offset_px,contact_points,contact_parts,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count
1,falling,0,1.0,,195.000,96.616,0.00000,0.54390,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.00000,0.000000,0.00000,0.54390,0.000000,,,,,0,0,0,0
1,falling,1,15.0,,195.000,97.048,0.00000,0.72119,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.54390,0.000000,0.00000,0.17729,0.000000,,,,,0,0,0,0
1,falling,2,17.0,,195.000,97.279,0.00000,0.80115,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.72119,0.000000,0.00000,0.07995,0.000000,,,,,0,0,0,0
1,falling,3,30.0,,195.000,98.005,0.00000,1.00753,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.80115,0.000000,0.00000,0.20639,0.000000,,,,,0,0,0,0
1,falling,4,47.0,,195.000,99.203,0.00000,1.27392,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.00753,0.000000,0.00000,0.26638,0.000000,,,,,0,0,0,0
1,falling,5,63.0,,195.000,100.670,0.00000,1.53625,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.27392,0.000000,0.00000,0.26233,0.000000,,,,,0,0,0,0
1,falling,6,80.0,,195.000,102.291,0.00000,1.77948,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.53625,0.000000,0.00000,0.24323,0.000000,,,,,0,0,0,0
1,falling,7,96.0,,195.000,104.268,0.00000,2.03412,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.77948,0.000000,0.00000,0.25464,0.000000,,,,,0,0,0,0
1,falling,8,113.0,,195.000,106.503,0.00000,2.28489,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.03412,0.000000,0.00000,0.25077,0.000000,,,,,0,0,0,0
1,falling,9,130.0,,195.000,108.837,0.00000,2.51739,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.28489,0.000000,0.00000,0.23251,0.000000,,,,,0,0,0,0
1,falling,10,146.0,,195.000,111.560,0.00000,2.76081,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.51739,0.000000,0.00000,0.24342,0.000000,,,,,0,0,0,0
1,falling,20,313.0,,195.000,150.812,0.00000,4.96364,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,4.75425,0.000000,0.00000,0.20939,0.000000,,,,,0,0,0,0
1,falling,30,480.0,,195.000,210.517,0.00000,6.85853,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,6.67841,0.000000,0.00000,0.18012,0.000000,,,,,0,0,0,0
1,falling,40,647.0,,195.000,287.303,0.00000,8.47946,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,8.33359,0.000000,0.00000,0.14587,0.000000,,,,,0,0,0,0
1,falling,50,814.0,,195.000,379.650,0.00000,9.88286,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,9.75738,0.000000,0.00000,0.12548,0.000000,,,,,0,0,0,0
1,falling,57,930.0,,195.000,452.225,0.00000,10.74750,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,10.62746,0.000000,0.00000,0.12004,0.000000,,,,,0,0,0,0
1,falling,58,947.0,,195.000,463.263,0.00000,10.86572,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,10.74750,0.000000,0.00000,0.11822,0.000000,,,,,0,0,0,0
1,post_landing,59,966.0,59,195.000,473.151,0.00000,0.00000,0.000000,0.000000,0,1,3.000,-0.787,4,2,0.00000,10.86572,0.000000,0.64386,-11.00435,-0.054571,0.000000,1.000000,0.132687,-0.476000,2,4,4,2
1,post_landing,60,982.0,59,196.102,472.648,1.25047,0.13654,-0.126768,-0.108610,0,0,0.000,0.000,0,0,0.00000,0.00000,0.000000,1.25047,0.13654,-0.126768,,,,,0,0,0,0
1,post_landing,61,997.0,59,197.365,472.966,1.23145,0.41618,-0.124839,-0.236682,0,0,0.000,0.000,0,0,1.25047,0.13654,-0.126768,-0.01902,0.27963,0.001928,,,,,0,0,0,0
1,post_landing,62,1014.0,59,198.537,473.521,1.21381,0.67545,-0.123051,-0.355453,0,0,0.000,0.000,0,0,1.23145,0.41618,-0.124839,-0.01764,0.25927,0.001788,,,,,0,0,0,0
1,post_landing,63,1030.0,59,199.763,474.384,1.19534,0.94688,-0.121179,-0.479770,0,0,0.000,0.000,0,0,1.21381,0.67545,-0.123051,-0.01846,0.27144,0.001872,,,,,0,0,0,0
1,post_landing,64,1047.0,59,200.971,475.520,1.17716,1.21419,-0.119336,-0.602195,0,0,0.000,0.000,0,0,1.19534,0.94688,-0.121179,-0.01818,0.26731,0.001843,,,,,0,0,0,0
1,post_landing,65,1064.0,59,202.091,476.835,1.16030,1.46203,-0.117627,-0.715730,0,0,0.000,0.000,0,0,1.17716,1.21419,-0.119336,-0.01686,0.24784,0.001709,,,,,0,0,0,0
1,post_landing,66,1081.0,59,203.263,478.492,1.14265,1.72150,-0.115837,-0.834567,0,0,0.000,0.000,0,0,1.16030,1.46203,-0.117627,-0.01765,0.25947,0.001789,,,,,0,0,0,0
1,post_landing,67,1097.0,59,204.417,480.411,1.12527,1.97702,-0.114075,-0.951595,0,0,0.000,0.000,0,0,1.14265,1.72150,-0.115837,-0.01738,0.25552,0.001762,,,,,0,0,0,0
1,post_landing,68,1114.0,59,205.488,482.451,1.10915,2.21394,-0.112441,-1.060126,0,0,0.000,0.000,0,0,1.12527,1.97702,-0.114075,-0.01612,0.23691,0.001634,,,,,0,0,0,0
