run,piece,event_index,change_index,substep,reason,part_ids,contact_width_px,contact_offset_px,vx_before,vx_after,delta_vx,vy_before,vy_after,delta_vy,angular_before,angular_after,delta_angular,delta_vn,delta_vt,x,angle,cumulative_delta_x,cumulative_delta_angle,contact_points,support_count
6,1,1,1,237,START,10960;10961;10962;10964;10969,11.000,0.213,0.000000,1.902684,1.902684,10.961777,-0.220308,-11.182085,0.000000,-0.093643,-0.093643,-11.182085,-1.902684,195.000,0.000000,0.000,0.000000,10,10
6,1,1,2,238,PART_CHANGE+WIDTH_CHANGE+RESPONSE,10962;10969,3.047,0.316,1.902684,3.240618,1.337935,-0.220308,-0.301893,-0.081585,-0.093643,-0.252574,-0.158932,-0.081585,-1.337935,195.483,-0.023788,0.483,-0.023788,4,4
6,1,1,3,239,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,10962,1.084,3.420,3.240618,3.051445,-0.189174,-0.301893,-0.229904,0.071988,-0.252574,-0.230715,0.021859,0.071988,0.189174,196.307,-0.087948,1.307,-0.087948,2,2
6,1,2,1,270,START,10970;11009;11010;11046,5.099,4.902,2.727418,2.036252,-0.691166,1.760955,-0.877703,-2.638659,-0.206216,-0.111183,0.095033,-2.638659,0.691166,218.520,-1.767503,0.000,0.000000,7,8
6,1,2,2,271,PART_CHANGE+WIDTH_CHANGE+RESPONSE,11010;11046,2.924,3.587,2.036252,1.479646,-0.556606,-0.877703,-0.803513,0.074191,-0.111183,-0.052491,0.058691,0.074191,0.556606,219.038,-1.795746,0.517,-0.028243,3,4
6,1,2,3,272,PART_CHANGE+WIDTH_CHANGE+RESPONSE,11010,0.972,3.982,1.479646,1.152449,-0.327196,-0.803513,-0.729606,0.073907,-0.052491,-0.017976,0.034515,0.073907,0.327196,219.414,-1.809080,0.893,-0.041577,1,2
6,1,3,1,291,START,11010,0.949,0.406,1.077090,0.912238,-0.164852,0.529048,-0.000309,-0.529357,-0.016800,0.001807,0.018608,-0.529357,0.164852,224.676,-1.891168,0.000,0.000000,1,2
6,1,3,2,352,PART_CHANGE+WIDTH_CHANGE,11010;11046,2.997,11.365,1.038686,1.052274,0.013588,0.317276,0.276870,-0.040406,0.023638,0.024853,0.001215,-0.040406,-0.013588,237.539,-1.613195,12.863,0.277973,3,4
6,1,3,3,356,PART_CHANGE+WIDTH_CHANGE,10970;11010;11046,3.999,11.953,1.064311,1.089216,0.024905,0.352553,0.288632,-0.063921,0.026147,0.026678,0.000531,-0.063921,-0.024905,238.612,-1.587078,13.936,0.304090,5,6
6,1,3,4,361,PART_CHANGE+WIDTH_CHANGE,10970;11046,3.000,12.840,1.117387,1.136495,0.019108,0.291288,0.319726,0.028438,0.028942,0.027563,-0.001379,0.028438,-0.019108,240.011,-1.553475,15.334,0.337693,3,4
6,1,3,5,370,PART_CHANGE+WIDTH_CHANGE,10970,0.997,14.440,1.209791,1.222142,0.012351,0.411873,0.415135,0.003262,0.029866,0.030330,0.000464,0.003262,-0.012351,242.644,-1.489583,17.968,0.401585,1,2
6,1,3,6,417,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE+RESPONSE,10960;10970,68.797,2.455,1.621463,1.536848,-0.084615,1.680415,-0.003058,-1.683473,0.054747,0.000470,-0.054276,-1.683473,0.084615,259.640,-1.005204,34.964,0.885963,2,4
6,1,3,7,418,PART_CHANGE+WIDTH_CHANGE+OFFSET_CHANGE,10960,1.380,36.160,1.536848,1.454966,-0.081881,-0.003058,0.004197,0.007255,0.000470,0.000271,-0.000200,0.007255,0.081881,260.031,-1.005085,35.354,0.886083,1,2
6,1,3,8,420,RESPONSE,10960,1.380,36.152,1.330351,1.163153,-0.167197,-0.015126,-0.060961,-0.045835,0.000803,0.002066,0.001263,-0.045835,0.167197,260.738,-1.004812,36.062,0.886356,1,2
