run,piece,transition_index,previous_event_index,next_event_index,previous_end_substep,next_start_substep,gap_substeps,previous_duration_substeps,next_duration_substeps,previous_end_x,next_start_x,delta_x_during_gap,previous_end_y,next_start_y,delta_y_during_gap,previous_end_angle,next_start_angle,delta_angle_during_gap,previous_end_vx,next_start_vx,delta_vx_across_gap,previous_end_vy,next_start_vy,delta_vy_across_gap,previous_end_angular_velocity,next_start_angular_velocity,delta_angular_across_gap,next_start_contact_width_px,next_start_contact_offset_px,previous_max_abs_delta_vx,previous_max_abs_delta_angular,previous_max_delta_vt,loop_class,angular_persistence,linear_persistence
1,31,1,1,2,243,273,29,2,244,195.067,197.867,2.800,481.654,496.612,14.959,0.076212,2.039070,1.962858,0.394765,0.182133,-0.212632,1.140347,0.653307,-0.487040,0.276740,0.123009,-0.153730,3.580,22.041,0.264885,0.300018,0.264885,MIXED_RECONTACT_LOOP,0,0
1,32,1,1,2,241,250,8,1,1,195.000,194.730,-0.270,482.990,486.389,3.400,0.000000,-0.749385,-0.749385,-0.122340,-0.258532,-0.136192,1.186676,1.588344,0.401668,-0.339360,-0.290012,0.049348,2.145,5.790,0.122340,0.339360,0.122340,ANGULAR_RECONTACT_LOOP,1,0
1,32,2,2,3,250,269,18,1,14,194.730,193.542,-1.188,486.389,495.547,9.158,-0.749385,-2.081807,-1.332422,-0.258532,-0.211793,0.046738,1.588344,1.662116,0.073772,-0.290012,-0.172578,0.117435,2.234,29.623,0.139805,0.039324,0.139805,RECONTACT,0,1
1,32,3,3,4,282,287,4,14,2,198.063,200.395,2.333,490.334,489.510,-0.824,-2.260559,-2.294011,-0.033453,1.894942,1.833690,-0.061253,-0.852779,-0.493712,0.359067,-0.027173,-0.018245,0.008927,1.411,24.111,0.541131,0.098348,0.541131,ANGULAR_RECONTACT_LOOP,1,0
1,32,4,4,5,288,299,10,2,2,200.861,205.623,4.762,489.398,489.326,-0.072,-2.298646,-2.301815,-0.003169,1.774147,1.675857,-0.098289,-0.420990,0.316504,0.737494,-0.001181,0.014316,0.015497,1.412,23.870,0.059543,0.017065,0.059543,RECONTACT,1,0
1,32,5,5,6,300,311,10,2,2,206.049,210.388,4.339,489.410,491.545,2.135,-2.298178,-2.213920,0.084258,1.616483,1.529053,-0.087430,0.386127,1.099179,0.713052,0.031391,0.042158,0.010767,1.400,26.498,0.059374,0.017075,0.059374,RECONTACT,1,0
1,32,6,6,7,312,318,5,2,22,210.776,213.030,2.253,491.830,493.990,2.159,-2.203211,-2.126033,0.077178,1.492646,1.452340,-0.040305,1.165808,1.554263,0.388455,0.051123,0.053509,0.002386,1.377,28.923,0.036407,0.011919,0.036407,RECONTACT,1,0
1,32,7,7,8,339,341,1,22,172,220.447,221.101,0.654,505.172,506.327,1.154,-1.787809,-1.746570,0.041239,1.289981,1.208268,-0.081713,2.756520,2.328554,-0.427966,0.081327,0.001188,-0.080139,3.938,30.053,0.021013,0.003356,0.021013,RECONTACT,0,0
1,33,1,1,2,246,261,14,2,244,195.107,197.542,2.435,490.630,495.125,4.495,0.041940,0.608946,0.567006,0.666387,0.810778,0.144391,0.671382,-0.290557,-0.961939,0.155193,0.135688,-0.019504,0.572,2.416,0.421492,0.165101,0.421492,ANGULAR_RECONTACT_LOOP,1,0
1,34,1,1,2,241,264,22,1,4,195.000,197.306,2.306,485.562,490.921,5.358,0.000000,0.994027,0.994027,0.419841,0.634918,0.215077,0.215026,-1.488609,-1.703634,0.180941,0.138731,-0.042210,1.676,18.060,0.419841,0.180941,0.419841,ANGULAR_RECONTACT_LOOP,1,0
1,34,2,2,3,267,303,35,4,202,198.114,212.223,14.109,489.100,485.930,-3.171,1.091428,1.952590,0.861162,1.679177,1.645752,-0.033424,-1.684556,0.291904,1.976460,0.102494,0.083378,-0.019116,1.856,4.382,0.506617,0.027881,0.506617,RECONTACT,1,0
1,35,1,1,2,248,258,9,2,231,194.739,192.052,-2.687,503.354,504.374,1.020,-0.014825,-0.167244,-0.152419,-1.088556,-1.015401,0.073155,0.025059,0.127408,0.102350,-0.061753,-0.060985,0.000768,13.971,8.908,1.091599,0.061993,1.091599,ANGULAR_RECONTACT_LOOP,1,1
