piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,angular_velocity,angle,sleeping,ground_contact,contact_width_px,contact_center_offset_px,contact_points,contact_parts,pre_velocity_x,pre_velocity_y,pre_angular_velocity,delta_velocity_x,delta_velocity_y,delta_angular_velocity,collision_normal_x,collision_normal_y,collision_depth,collision_separation,collision_pair_count,collision_contact_count,collision_support_count,collision_contact_part_count
6,falling,0,6.0,,195.000,96.616,0.00000,0.54390,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.00000,0.000000,0.00000,0.54390,0.000000,,,,,0,0,0,0
6,falling,1,22.0,,195.000,97.292,0.00000,0.80134,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.54390,0.000000,0.00000,0.25744,0.000000,,,,,0,0,0,0
6,falling,2,38.0,,195.000,98.214,0.00000,1.05510,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,0.80134,0.000000,0.00000,0.25375,0.000000,,,,,0,0,0,0
6,falling,3,56.0,,195.000,99.544,0.00000,1.33629,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.05510,0.000000,0.00000,0.28119,0.000000,,,,,0,0,0,0
6,falling,4,72.0,,195.000,100.975,0.00000,1.58238,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.33629,0.000000,0.00000,0.24609,0.000000,,,,,0,0,0,0
6,falling,5,88.0,,195.000,102.640,0.00000,1.82495,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.58238,0.000000,0.00000,0.24257,0.000000,,,,,0,0,0,0
6,falling,6,105.0,,195.000,104.663,0.00000,2.07890,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,1.82495,0.000000,0.00000,0.25395,0.000000,,,,,0,0,0,0
6,falling,7,122.0,,195.000,106.944,0.00000,2.32899,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.07890,0.000000,0.00000,0.25009,0.000000,,,,,0,0,0,0
6,falling,8,139.0,,195.000,109.319,0.00000,2.56086,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.32899,0.000000,0.00000,0.23187,0.000000,,,,,0,0,0,0
6,falling,9,155.0,,195.000,112.086,0.00000,2.80361,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.56086,0.000000,0.00000,0.24275,0.000000,,,,,0,0,0,0
6,falling,10,172.0,,195.000,115.098,0.00000,3.04268,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,2.80361,0.000000,0.00000,0.23906,0.000000,,,,,0,0,0,0
6,falling,20,339.0,,195.000,156.652,0.00000,5.19407,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,5.00046,0.000000,0.00000,0.19361,0.000000,,,,,0,0,0,0
6,falling,30,505.0,,195.000,218.496,0.00000,7.05675,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,6.87970,0.000000,0.00000,0.17705,0.000000,,,,,0,0,0,0
6,falling,40,672.0,,195.000,297.635,0.00000,8.65904,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,8.50673,0.000000,0.00000,0.15230,0.000000,,,,,0,0,0,0
6,falling,50,839.0,,195.000,391.649,0.00000,10.03733,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,9.90632,0.000000,0.00000,0.13101,0.000000,,,,,0,0,0,0
6,falling,57,956.0,,195.000,464.596,0.00000,10.87961,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,10.76861,0.000000,0.00000,0.11100,0.000000,,,,,0,0,0,0
6,falling,58,972.0,,195.000,475.767,0.00000,10.99581,0.000000,0.000000,0,0,0.000,0.000,0,0,0.00000,10.87961,0.000000,0.00000,0.11621,0.000000,,,,,0,0,0,0
6,post_landing,59,990.0,59,195.210,477.473,0.00000,0.00000,0.000000,0.139073,0,1,0.000,12.002,1,1,0.00000,10.99581,0.000000,0.71426,-12.73789,0.130414,0.000000,1.000000,0.068992,0.039270,1,1,2,1
6,post_landing,60,1006.0,59,195.890,475.846,0.70403,-1.45189,0.128546,0.263148,0,0,0.000,0.000,0,0,0.00000,0.00000,0.000000,0.70403,-1.45189,0.128546,,,,,0,0,0,0
6,post_landing,61,1022.0,59,196.601,474.507,0.69332,-1.14809,0.126591,0.393016,0,0,0.000,0.000,0,0,0.70403,-1.45189,0.128546,-0.01071,0.30380,-0.001956,,,,,0,0,0,0
6,post_landing,62,1039.0,59,197.301,473.505,0.68278,-0.84892,0.124665,0.520908,0,0,0.000,0.000,0,0,0.69332,-1.14809,0.126591,-0.01055,0.29918,-0.001926,,,,,0,0,0,0
6,post_landing,63,1056.0,59,197.951,472.848,0.67300,-0.57153,0.122879,0.639513,0,0,0.000,0.000,0,0,0.68278,-0.84892,0.124665,-0.00978,0.27739,-0.001786,,,,,0,0,0,0
6,post_landing,64,1073.0,59,198.631,472.447,0.66276,-0.28112,0.121010,0.763656,0,0,0.000,0.000,0,0,0.67300,-0.57153,0.122879,-0.01024,0.29041,-0.001869,,,,,0,0,0,0
6,post_landing,65,1089.0,59,199.300,472.342,0.65268,0.00487,0.119169,0.885911,0,0,0.000,0.000,0,0,0.66276,-0.28112,0.121010,-0.01008,0.28599,-0.001841,,,,,0,0,0,0
