run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,6,1,238,241,4,414;416;428;432;434,195.000,194.832,-0.168,479.767,477.588,-2.179,0.000000,-0.064905,-0.064905,-0.543606,0.071032,0.614638,-1.200666,-1.609220,-0.408554,-0.065342,-0.111082,-0.045741,11.029,35.000,10.429,0.543606,238,35.000,0.422,-12.223559,0.543606,0.111082,241,0.543606,1.173685,4
1,6,2,313,480,168,473;448,195.950,191.735,-4.215,493.864,498.345,4.481,-1.813476,-2.016905,-0.203429,-0.033307,-0.000000,0.033307,2.383440,0.000000,-2.383440,-0.095859,-0.000000,0.095859,1.787,50.559,25.135,0.289487,316,1.900,22.474,-0.144536,0.289487,0.069252,323,0.289487,3.163933,9
1,7,1,241,243,3,477;483;488,195.000,195.244,0.244,478.236,478.388,0.152,0.000000,0.082865,0.082865,0.365879,0.814818,0.448938,2.540764,2.149156,-0.391608,0.168049,0.151004,-0.017045,2.076,5.000,16.641,0.365879,241,5.000,12.603,-8.468579,-0.365879,0.168049,241,0.365879,0.814818,3
1,7,2,249,255,7,480,196.427,198.185,1.758,481.730,480.395,-1.334,0.302003,0.396050,0.094047,0.824925,1.504406,0.679481,-0.426856,-0.563132,-0.136276,0.096912,0.031824,-0.065088,3.154,3.162,14.644,0.216795,251,3.161,12.906,0.074349,-0.216795,0.051360,249,0.216795,0.704331,3
1,7,3,259,492,234,480;574;573;481,199.683,258.141,58.459,480.032,494.164,14.132,0.427733,1.962984,1.535251,1.445587,0.000000,-1.445587,-0.342538,0.000000,0.342538,0.033353,0.000000,-0.033353,0.843,46.233,25.413,0.191112,428,0.921,25.223,-0.078484,0.191112,0.063110,426,0.191112,4.758862,13
1,8,1,238,480,243,581;582;607;642;645,195.000,209.374,14.374,479.838,493.088,13.249,0.000000,0.484279,0.484279,0.066684,-0.077327,-0.144011,6.268657,-0.027637,-6.296294,0.076334,-0.004378,-0.080712,0.388,34.159,38.980,1.478735,249,2.150,32.523,0.033644,-1.478735,0.076334,238,1.478735,17.407384,30
1,9,1,241,243,3,652;654;656,195.000,195.124,0.124,479.795,482.250,2.454,0.000000,0.105194,0.105194,0.176096,0.419422,0.243326,6.951086,6.745988,-0.205098,0.203768,0.201615,-0.002153,3.088,7.000,36.378,0.176096,241,7.000,33.175,-4.071771,-0.176096,0.203768,241,0.176096,0.419422,3
1,9,2,246,248,3,670,195.442,195.807,0.365,487.160,488.447,1.287,0.258252,0.371878,0.113626,0.569496,1.299716,0.730221,2.592828,2.545780,-0.047048,0.232004,0.207264,-0.024740,0.255,0.363,13.248,0.432466,248,0.363,13.248,0.028825,-0.432466,0.031928,246,0.432466,0.883496,3
1,9,3,253,255,3,724,197.369,198.167,0.797,491.703,490.861,-0.842,0.620963,0.702349,0.081386,1.422495,2.088809,0.666314,-1.304893,-1.390309,-0.085417,0.165497,0.142417,-0.023080,1.745,1.938,12.259,0.372983,255,1.938,9.933,0.076444,-0.372983,0.038798,253,0.372983,0.807708,3
1,9,4,260,263,4,657,200.799,202.448,1.649,489.127,487.207,-1.920,0.881857,0.963240,0.081383,2.133868,2.578950,0.445081,-2.145980,-2.253164,-0.107184,0.122725,0.093976,-0.028749,0.772,0.821,25.072,0.173163,262,0.807,23.232,0.034174,-0.173163,0.017525,260,0.173163,0.521916,3
1,9,5,317,488,172,689;687;653;651,233.932,278.159,44.227,483.839,481.424,-2.415,2.110489,3.170009,1.059520,2.029025,1.149215,-0.879810,-0.233110,0.186473,0.419583,0.057561,0.028361,-0.029200,0.327,11.389,20.156,0.094129,318,0.850,19.614,-0.563454,0.094129,0.019436,317,0.094129,2.749378,7
1,10,1,242,243,2,742;746;766,195.000,195.179,0.179,486.844,486.038,-0.807,0.000000,0.005163,0.005163,0.703237,0.703247,0.000010,-1.124523,-1.049388,0.075135,0.020323,0.020123,-0.000200,8.005,50.000,23.000,0.703237,242,50.000,4.177,-12.216327,-0.703237,0.020323,242,0.703237,0.703247,2
1,10,2,268,508,241,746;742,199.369,195.132,-4.237,483.068,486.667,3.599,0.125074,-0.024731,-0.149805,0.560755,-0.000001,-0.560756,-0.023213,-0.000000,0.023213,0.001266,-0.000000,-0.001266,7.024,48.035,23.977,0.106376,326,48.035,4.011,-0.760036,-0.106376,0.017123,268,0.106376,2.962388,6
