run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
3,21,1,241,484,244,12518;12519;12545;12546,195.000,195.328,0.328,483.845,483.343,-0.502,0.000000,0.000071,0.000071,-0.378416,0.000005,0.378421,-0.272847,-0.000002,0.272845,-0.010026,0.000000,0.010027,0.000000,0.000000,0.000000,54.001,59.003,2.286,0.378416,241,59.000,2.192,-11.336145,0.378416,0.010026,241,0.378416,1.653010,4
3,22,1,243,245,3,12572;12574;12576,195.000,195.584,0.584,486.487,485.519,-0.968,0.000000,-0.077702,-0.077702,0.930850,1.763715,0.832865,0.011343,-0.075925,-0.087269,-0.130033,-0.211013,-0.080979,-0.393539,0.006676,-0.386864,4.066,6.000,3.748,1.763715,245,4.066,3.748,-0.075925,-1.763715,0.211013,245,1.763715,3.129951,3
3,22,2,286,289,4,12599;12591;12598;12606,212.299,213.165,0.866,498.309,497.110,-1.199,-2.077567,-2.127292,-0.049725,1.454324,0.681992,-0.772332,0.068182,-0.838372,-0.906554,-0.125080,-0.015198,0.109882,0.320613,-0.154256,0.166358,0.849,6.179,24.077,0.294440,287,6.179,23.475,-1.055489,0.294440,0.076276,287,0.294440,0.835509,4
3,22,3,306,484,179,12599;12620;12621;12624;12632;12619,215.974,223.497,7.523,495.700,499.744,4.044,-2.189887,-1.872153,0.317735,0.564487,-0.258530,-0.823017,0.128881,-0.014557,-0.143438,-0.008031,-0.012749,-0.004717,0.016212,-0.014651,0.001562,0.813,28.634,25.261,0.204725,380,20.024,7.814,-0.412490,0.204725,0.012765,307,0.204725,3.240219,14
3,23,1,244,482,239,12647;12670;12677,195.000,194.551,-0.449,494.622,494.162,-0.460,0.000000,-0.023006,-0.023006,0.209936,-0.000054,-0.209990,-0.152913,-0.000001,0.152912,0.007925,-0.000001,-0.007926,-0.000001,0.000000,-0.000001,9.001,56.000,14.902,0.209936,244,56.000,8.098,-11.314718,-0.209936,0.010260,273,0.209936,1.250177,3
3,24,1,244,248,5,12715;12717;12718,195.000,194.261,-0.739,487.068,489.509,2.441,0.000000,-0.199520,-0.199520,-0.295523,-1.484290,-1.188767,3.221024,2.399660,-0.821365,-0.262914,-0.153868,0.109046,-0.492281,0.075499,-0.416782,2.213,7.000,17.925,0.351435,248,2.357,17.925,-0.159468,0.351435,0.262914,244,0.351435,1.484290,5
3,24,2,253,255,3,12771;12773;12774,192.412,191.553,-0.859,492.602,492.172,-0.430,-0.391206,-0.429112,-0.037905,-1.738641,-1.888231,-0.149590,-0.789175,-0.650410,0.138765,-0.084248,-0.070612,0.013635,0.089570,-0.008655,0.080915,0.416,5.766,8.909,0.276930,253,5.766,7.898,-3.434042,0.276930,0.067280,253,0.276930,0.426521,3
3,24,3,260,484,225,12774;12775;12776;12777;12770;12772;12760;12764;12766;12767;12768;12769;12755;12740,189.201,152.296,-36.905,491.543,500.747,9.204,-0.517079,-1.834044,-1.316965,-1.867919,0.000000,1.867919,-0.441289,0.000000,0.441289,-0.065197,0.000000,0.065197,0.069554,0.000000,0.069554,0.494,41.225,26.818,0.219056,345,2.889,25.737,-0.063528,-0.219056,0.079544,342,0.219056,4.002935,20
3,25,1,238,239,2,12781;12785,195.000,195.017,0.017,477.821,478.501,0.681,0.000000,0.038038,0.038038,0.070673,0.299456,0.228783,5.291781,-0.416961,-5.708742,0.159065,0.200663,0.041598,0.498113,-0.297450,0.200663,1.000,16.064,11.936,0.228783,239,16.064,6.038,-5.708742,-0.228783,0.159065,238,0.228783,0.299456,2
3,25,2,289,295,7,12834;12839,198.422,197.922,-0.500,493.600,491.479,-2.121,2.319690,2.406707,0.087017,0.170967,-0.480243,-0.651210,1.227699,-0.630375,-1.858074,0.099614,0.023605,-0.076009,-0.420601,0.277258,-0.143343,0.671,1.465,20.966,0.335243,290,1.430,20.274,-1.119907,0.335243,0.067334,289,0.335243,0.851274,4
3,25,3,299,300,2,12834,197.458,197.356,-0.102,491.046,490.987,-0.058,2.429512,2.432695,0.003183,-0.425896,-0.346117,0.079778,-0.351854,-0.283921,0.067933,0.013310,-0.003211,-0.016521,-0.026556,0.000000,-0.026556,0.651,0.653,18.198,0.079778,300,0.651,18.103,0.067933,-0.079778,0.016521,300,0.079778,0.128850,1
3,25,4,309,532,224,12834;12819;12825;12862;12864;12858;12785,196.582,166.742,-29.840,491.123,501.319,10.196,2.425512,1.199736,-1.225776,-0.357688,0.108501,0.466189,0.240169,0.012165,-0.228004,-0.012513,0.009890,0.022403,0.013004,0.000000,0.013004,0.656,36.767,36.918,0.163412,432,36.763,18.909,-0.200999,-0.163412,0.048151,432,0.163412,5.230703,19
