run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,16,1,247,248,2,1171;1176;1183,195.000,194.902,-0.098,500.745,500.005,-0.741,0.000000,-0.025723,-0.025723,-0.409607,-0.668487,-0.258880,0.257979,0.323717,0.065738,-0.107567,-0.102168,0.005400,0.005400,0.000000,0.005400,0.000000,1,6.024,15.000,13.338,0.409607,247,15.000,9.308,-10.971510,0.409607,0.107567,247,0.409607,0.668487,2
1,16,2,257,488,232,1172;1184;1192;1176;1171,193.436,194.054,0.619,501.210,502.270,1.060,-0.249857,-0.218954,0.030903,-0.556463,0.000000,0.556463,-1.220688,0.000000,1.220688,-0.027946,0.000000,0.027946,0.027946,0.000000,0.027946,0.000000,1,0.211,46.315,41.954,0.235949,401,46.314,14.073,-0.414912,-0.235949,0.071226,257,0.235949,2.958075,19
1,17,1,244,245,2,1218;1226,195.000,194.931,-0.069,494.577,494.179,-0.399,0.000000,-0.018199,-0.018199,-0.272641,-0.566589,-0.293948,0.020537,0.091292,0.070755,-0.071643,-0.053333,0.018310,-0.063673,0.010340,-0.053333,-0.071643,0,5.017,19.000,9.747,0.293948,245,5.017,8.227,0.070755,0.293948,0.071643,244,0.293948,0.566589,2
1,17,2,252,484,233,1218;1219,193.935,198.417,4.482,494.834,493.608,-1.226,-0.111953,0.049243,0.161195,-0.669886,-0.155884,0.514003,0.413410,0.050645,-0.362766,-0.050231,-0.005686,0.044546,0.044546,0.000000,0.044546,0.000000,1,5.001,29.272,12.053,0.149402,253,29.272,1.136,-0.904899,0.149402,0.018812,253,0.149402,2.646808,5
1,18,1,241,243,3,1289;1290;1299;1304,195.000,195.251,0.251,479.188,478.155,-1.033,0.000000,0.051164,0.051164,0.556200,0.158139,-0.398061,-0.540971,-0.707954,-0.166982,0.088776,0.175638,0.086862,0.086862,0.000000,0.086862,0.000000,1,5.992,18.000,3.856,0.556200,241,18.000,2.896,-11.563848,-0.556200,0.088776,241,0.556200,0.954261,3
1,18,2,298,540,243,1305;1317;1320;1324;1285;1288;1313;1281;1314;1306;1283;1297;1304;1312;1321,197.209,174.895,-22.314,493.347,499.915,6.567,2.225352,1.226444,-0.998908,-0.021705,-0.211122,-0.189418,1.388307,0.005850,-1.382457,-0.003186,-0.009777,-0.006591,-0.015839,0.009248,-0.006591,0.000000,1,0.951,39.558,29.533,0.340783,300,4.397,23.980,-0.297223,0.340783,0.146638,298,0.340783,5.918746,24
1,19,1,238,238,1,1379,195.000,195.000,0.000,479.359,479.359,0.000,0.000000,0.000000,0.000000,-0.110734,-0.110734,0.000000,2.312438,2.312438,0.000000,-0.283924,-0.283924,0.000000,0.000000,0.000000,0.000000,0.000000,1,7.000,7.000,10.832,0.110734,238,7.000,10.832,-8.691827,0.110734,0.283924,238,0.110734,0.110734,1
1,19,2,265,508,244,1396;1398;1399;1406;1434;1431;1426,194.289,197.203,2.914,499.460,501.895,2.435,-1.822897,-1.652489,0.170408,0.691737,-0.007768,-0.699505,0.886071,0.004455,-0.881616,0.036195,0.000956,-0.035238,-0.035238,0.000000,-0.035238,0.000000,1,0.989,28.284,27.543,0.792151,265,11.401,27.543,-2.936783,-0.792151,0.293657,265,0.792151,5.513943,22
1,20,1,241,243,3,1472;1484,195.000,194.487,-0.513,479.464,478.811,-0.653,0.000000,0.055989,0.055989,-0.794652,-1.457121,-0.662469,-0.135724,-0.375908,-0.240185,0.071798,0.180758,0.108960,0.108960,0.000000,0.108960,0.000000,1,4.017,5.000,1.859,0.794652,241,5.000,1.859,-11.158623,0.794652,0.090535,242,0.794652,1.457121,2
1,20,2,293,536,244,1514;1519;1511;1530;1555;1558;1559;1556;1544;1536;1495;1547;1524,177.865,155.761,-22.103,495.291,497.558,2.267,2.118027,1.256321,-0.861706,-1.165860,-0.113916,1.051943,1.076077,0.016343,-1.059734,0.033269,-0.003919,-0.037187,-0.052363,0.015175,-0.037187,-0.000000,1,0.903,32.647,26.650,0.272742,294,6.153,24.436,-0.292729,-0.272742,0.116983,293,0.272742,4.500585,19
