run,piece,event_index,start_substep,end_substep,duration_substeps,part_ids,start_x,end_x,delta_x,start_y,end_y,delta_y,start_angle,end_angle,delta_angle,start_vx,end_vx,delta_vx,start_vy,end_vy,delta_vy,start_angular_velocity,end_angular_velocity,delta_angular_velocity,solver_delta_angular_velocity,correction_delta_angular_velocity,total_delta_angular_velocity,decomposition_residual,decomposition_consistent,observed_delta_angular_velocity,observed_vs_event_residual,observed_vs_total_residual,observed_consistent,start_pre_angular_velocity,start_solver_delta_angular_velocity,start_correction_delta_angular_velocity,start_total_delta_angular_velocity,sum_solver_delta_angular_including_start,sum_correction_delta_angular_including_start,sum_total_delta_angular_including_start,inclusive_decomposition_residual,inclusive_consistent,min_contact_width_px,max_contact_width_px,max_contact_offset_px,max_abs_delta_vx,max_delta_vx_substep,max_delta_vx_width_px,max_delta_vx_offset_px,max_delta_vn,max_delta_vt,max_abs_delta_angular,max_delta_angular_substep,max_abs_delta_vt,sum_abs_delta_vx,change_point_count
1,11,1,241,479,239,844;850,195.000,194.726,-0.274,485.154,484.644,-0.510,0.000000,0.001099,0.001099,-0.084300,0.018584,0.102884,0.000599,-0.000437,-0.001037,-0.002080,-0.000512,0.001568,0.001568,0.000000,0.001568,-0.000000,1,0.001568,-0.000000,0.000000,1,0.000000,-0.002080,0.000000,-0.002080,-0.000512,0.000000,-0.000512,-0.000000,1,16.000,25.000,1.504,0.084300,241,25.000,1.504,-11.069421,0.084300,0.002080,241,0.084300,3.431973,2
1,12,1,246,247,2,917;920;925,195.000,195.078,0.078,492.523,492.298,-0.225,0.000000,0.047188,0.047188,0.324433,0.526893,0.202460,2.552240,2.609719,0.057479,0.197326,0.188281,-0.009045,-0.009045,0.000000,-0.009045,0.000000,1,-0.009045,0.000000,0.000000,1,0.000000,0.197326,0.000000,0.197326,0.188281,0.000000,0.188281,0.000000,1,4.043,8.000,19.075,0.324433,246,8.000,16.727,-8.597942,-0.324433,0.197326,246,0.324433,0.526893,2
1,12,2,255,258,4,960;961;965,196.126,197.050,0.923,497.632,495.533,-2.099,0.421999,0.503725,0.081726,0.981124,1.709294,0.728170,-1.182065,-1.809523,-0.627459,0.122136,0.093025,-0.029110,-0.052451,0.023341,-0.029110,0.000000,1,-0.029110,0.000000,0.000000,1,0.183338,-0.141391,0.080188,-0.061203,-0.193842,0.103529,-0.090313,0.000000,1,0.462,3.463,21.994,0.468062,255,3.463,21.994,-4.209387,-0.468062,0.061203,255,0.468062,1.196232,4
1,12,3,268,496,229,970;923;921;919;915;928;930;972;973;971;962;959;913,201.268,274.155,72.887,491.850,498.053,6.203,0.733330,3.025232,2.291902,1.736778,0.459523,-1.277255,-1.515669,-0.255279,1.260390,0.071795,0.017615,-0.054180,-0.054180,0.000000,-0.054180,0.000000,1,-0.054180,0.000000,0.000000,1,0.089912,-0.018117,0.000000,-0.018117,-0.072297,0.000000,-0.072297,0.000000,1,0.291,37.634,25.789,0.249251,472,37.634,0.089,-1.847278,0.249251,0.042390,472,0.249251,3.822675,20
1,13,1,244,482,239,978;979;981,195.000,190.388,-4.612,497.537,497.975,0.438,0.000000,-0.197256,-0.197256,-0.097489,-0.000000,0.097489,-0.000756,-0.000000,0.000756,-0.008721,-0.000000,0.008721,0.008721,0.000000,0.008721,0.000000,1,0.008721,0.000000,0.000000,1,0.000000,-0.008721,0.000000,-0.008721,-0.000000,0.000000,-0.000000,0.000000,1,2.015,37.851,29.288,0.122829,339,37.851,12.443,-0.009546,-0.122829,0.008721,244,0.122829,1.009422,7
1,14,1,240,480,241,1052;1072,195.000,200.574,5.574,486.093,485.850,-0.243,0.000000,0.167123,0.167123,0.125170,-0.188782,-0.313951,-0.150945,-0.007876,0.143069,0.036509,-0.005339,-0.041848,-0.005339,0.000000,-0.005339,0.036509,0,-0.041848,0.000000,-0.036509,0,0.000000,0.036509,0.000000,0.036509,0.031170,0.000000,0.031170,0.036509,0,0.128,20.025,9.831,0.125170,240,20.000,5.596,-11.234430,-0.125170,0.036509,240,0.125170,3.091341,6
1,15,1,239,239,1,1116,195.000,195.000,0.000,483.093,483.093,0.000,0.000000,0.000000,0.000000,-0.108733,-0.108733,0.000000,2.264047,2.264047,0.000000,-0.207550,-0.207550,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.000000,0.000000,1,0.000000,-0.207550,0.000000,-0.207550,-0.207550,0.000000,-0.207550,0.000000,1,13.000,13.000,17.256,0.108733,239,13.000,17.256,-8.782460,0.108733,0.207550,239,0.108733,0.108733,1
1,15,2,249,250,2,1141;1145,194.735,194.622,-0.113,489.370,489.026,-0.344,-0.506302,-0.546185,-0.039883,-0.443549,-0.777586,-0.334037,-1.148970,-1.073742,0.075228,-0.157006,-0.139020,0.017986,0.017986,0.000000,0.017986,0.000000,1,0.017986,0.000000,0.000000,1,-0.200695,0.055345,-0.011655,0.043689,0.073331,-0.011655,0.061675,0.000000,1,1.039,3.204,7.215,0.338407,249,3.204,7.215,-3.949900,0.338407,0.043689,249,0.338407,0.672445,2
1,15,3,294,295,2,1142;1146,186.746,186.513,-0.233,494.122,493.990,-0.131,-1.954217,-1.975132,-0.020915,-0.975608,-1.145165,-0.169557,-0.440484,-0.372232,0.068252,-0.087461,-0.079575,0.007886,0.007886,0.000000,0.007886,0.000000,1,0.007886,0.000000,0.000000,1,-0.118245,0.030785,0.000000,0.030785,0.038671,0.000000,0.038671,0.000000,1,2.758,5.011,1.845,0.314220,294,5.011,1.845,-2.294512,0.314220,0.030785,294,0.314220,0.483777,2
1,15,4,305,548,244,1138;1142;1122;1121;1146;1160;1159,183.687,188.248,4.561,493.856,493.950,0.094,-2.171538,-2.014409,0.157129,-1.260875,-0.527268,0.733607,-0.359517,-0.009617,0.349900,-0.063328,-0.018146,0.045182,0.045182,0.000000,0.045182,0.000000,1,0.045182,0.000000,0.000000,1,-0.076894,0.013566,0.000000,0.013566,0.058749,0.000000,0.058749,0.000000,1,0.954,24.635,26.164,0.212685,306,2.449,4.039,0.067961,0.212685,0.021916,307,0.212685,5.141332,18
