piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,0,1.0,,195.000,97.029,0.00000,0.55000,0.55000,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,1,17.0,,195.000,97.805,0.00000,0.80875,0.80875,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,2,27.0,,195.000,98.386,0.00000,0.96813,0.96813,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,3,44.0,,195.000,99.648,0.00000,1.23666,1.23666,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,4,60.0,,195.000,101.074,0.00000,1.48551,1.48551,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,5,77.0,,195.000,102.855,0.00000,1.74612,1.74612,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,6,94.0,,195.000,104.898,0.00000,2.00274,2.00274,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,7,110.0,,195.000,107.049,0.00000,2.24056,2.24056,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,8,127.0,,195.000,109.588,0.00000,2.48962,2.48962,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,9,144.0,,195.000,112.378,0.00000,2.73486,2.73486,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,10,160.0,,195.000,115.221,0.00000,2.96214,2.96214,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,11,177.0,,195.000,118.485,0.00000,3.20016,3.20016,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,12,194.0,,195.000,121.989,0.00000,3.43453,3.43453,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,13,210.0,,195.000,125.494,0.00000,3.65174,3.65174,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,14,227.0,,195.000,129.451,0.00000,3.87920,3.87920,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,15,244.0,,195.000,133.636,0.00000,4.10318,4.10318,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,16,261.0,,195.000,137.775,0.00000,4.31076,4.31076,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,17,277.0,,195.000,142.393,0.00000,4.52814,4.52814,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,18,294.0,,195.000,147.230,0.00000,4.74219,4.74219,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,19,311.0,,195.000,151.973,0.00000,4.94057,4.94057,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,20,327.0,,195.000,157.225,0.00000,5.14831,5.14831,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,21,344.0,,195.000,162.684,0.00000,5.35288,5.35288,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,22,361.0,,195.000,168.005,0.00000,5.54246,5.54246,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
1,falling,23,377.0,,195.000,173.861,0.00000,5.74100,5.74100,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83
