piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,0,1.0,,195.000,97.029,0.00000,0.55000,0.55000,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,1,14.0,,195.000,97.565,0.00000,0.74406,0.74406,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,2,26.0,,195.000,98.239,0.00000,0.93602,0.93602,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,3,42.0,,195.000,99.468,0.00000,1.20504,1.20504,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,4,59.0,,195.000,100.967,0.00000,1.46993,1.46993,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,5,76.0,,195.000,102.614,0.00000,1.71543,1.71543,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,6,92.0,,195.000,104.626,0.00000,1.97252,1.97252,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,7,109.0,,195.000,106.896,0.00000,2.22567,2.22567,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,8,126.0,,195.000,109.258,0.00000,2.46029,2.46029,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,9,142.0,,195.000,112.018,0.00000,2.70598,2.70598,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,10,159.0,,195.000,115.025,0.00000,2.94791,2.94791,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,11,176.0,,195.000,118.070,0.00000,3.17213,3.17213,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,12,192.0,,195.000,121.545,0.00000,3.40693,3.40693,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,13,209.0,,195.000,125.256,0.00000,3.63814,3.63814,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,14,226.0,,195.000,128.954,0.00000,3.85241,3.85241,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,15,242.0,,195.000,133.113,0.00000,4.07681,4.07681,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
