piece,phase,frame,time_ms,landing_frame,x,y,velocity_x,velocity_y,speed,angular_velocity,angle,sleeping,ground_contact,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices
1,falling,0,2.0,,195.000,97.029,0.00000,0.55000,0.55000,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,1,7.0,,195.000,97.262,0.00000,0.64703,0.64703,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,2,16.0,,195.000,97.689,0.00000,0.79179,0.79179,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,3,32.0,,195.000,98.695,0.00000,1.04705,1.04705,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,4,49.0,,195.000,100.035,0.00000,1.31437,1.31437,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,5,66.0,,195.000,101.644,0.00000,1.57759,1.57759,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,6,82.0,,195.000,103.393,0.00000,1.82154,1.82154,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,7,99.0,,195.000,105.512,0.00000,2.07700,2.07700,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,8,116.0,,195.000,107.887,0.00000,2.32856,2.32856,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,9,132.0,,195.000,110.346,0.00000,2.56169,2.56169,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,10,149.0,,195.000,113.208,0.00000,2.80583,2.80583,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,11,166.0,,195.000,116.315,0.00000,3.04624,3.04624,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,12,183.0,,195.000,119.453,0.00000,3.26904,3.26904,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,13,199.0,,195.000,123.026,0.00000,3.50236,3.50236,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,14,216.0,,195.000,126.833,0.00000,3.73210,3.73210,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,15,233.0,,195.000,130.620,0.00000,3.94503,3.94503,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,16,250.0,,195.000,134.871,0.00000,4.16800,4.16800,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,17,266.0,,195.000,139.346,0.00000,4.38756,4.38756,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,18,283.0,,195.000,143.754,0.00000,4.59105,4.59105,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,19,300.0,,195.000,148.654,0.00000,4.80414,4.80414,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,20,316.0,,195.000,153.768,0.00000,5.01397,5.01397,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,21,333.0,,195.000,158.768,0.00000,5.20844,5.20844,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,22,350.0,,195.000,164.289,0.00000,5.41208,5.41208,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,23,366.0,,195.000,170.014,0.00000,5.61261,5.61261,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,24,383.0,,195.000,175.580,0.00000,5.79845,5.79845,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,25,401.0,,195.000,181.693,0.00000,5.99307,5.99307,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,26,416.0,,195.000,188.002,0.00000,6.18471,6.18471,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,27,433.0,,195.000,194.502,0.00000,6.37342,6.37342,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,28,450.0,,195.000,200.789,0.00000,6.54831,6.54831,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,3.000,11.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,29,466.0,,195.000,207.655,0.00000,6.73145,6.73145,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,30,483.0,,195.000,214.705,0.00000,6.91179,6.91179,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,31,500.0,,195.000,221.501,0.00000,7.07893,7.07893,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,32,516.0,,195.000,228.900,0.00000,7.25396,7.25396,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,33,533.0,,195.000,236.475,0.00000,7.42630,7.42630,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,34,550.0,,195.000,243.757,0.00000,7.58603,7.58603,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,35,566.0,,195.000,251.665,0.00000,7.75330,7.75330,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,36,583.0,,195.000,259.742,0.00000,7.91801,7.91801,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
1,falling,37,600.0,,195.000,267.490,0.00000,8.07065,8.07065,0.000000,0.000000,0,0,4.34800,1775.255,7.415,3.000,1.000,3.000,12.000,12.000,0.000,0.000,0,0,1.0110,88,176,88,91,83
