run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,bottom_width_1px,bottom_width_2px,bottom_width_4px,bottom_width_8px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,max_speed,max_angular_velocity,min_angle,max_angle,angle_range,min_x,max_x,x_range,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
3,1,complete,120,59,60,4.348,1775.255,7.415,3,3,11,12,12,12,0.713,20,10,10.92559,0.066438,-0.226321,0.045515,0.27183599999999997,188.574,200.174,11.599999999999994,,0,1,88,176,88,91,83
3,2,complete,120,59,60,4.144,971.803,3.723,6,6,6,7,10,8,-1.594,8,4,10.92469,0.110575,-1.033856,0.05849,1.092346,195,205.305,10.305000000000007,,0,1,83,166,83,90,76
3,3,complete,121,60,60,6.218,2680.781,8.535,8,8,60,61,61,61,-10.188,18,9,11.04121,0.022857,-0.038551,0.023348,0.061899,191.706,195.029,3.3230000000000075,,0,1,89,178,89,93,68
3,4,complete,120,59,60,2.636,378.793,10.821,9,9,10,11,11,11,-3.944,14,7,10.92447,0.085231,-1.592413,0.06666,1.659073,195,243.501,48.501000000000005,,0,1,54,108,54,54,62
3,5,complete,120,59,60,4.202,918.333,0.519,9,9,11,12,16,9,8.374,4,2,10.92462,0.06401,-0.469015,0.09672,0.565735,135.163,195,59.83699999999999,,0,1,84,168,84,91,85
3,6,complete,120,59,60,4.956,1754.612,4.805,35,35,35,37,39,35,0.422,10,5,10.92465,0.105136,-0.101025,0.238937,0.339962,193.253,210.852,17.599000000000018,,0,1,63,126,63,66,67
3,7,complete,119,58,60,4.74,1831.832,2.853,4,4,5,7,12,4,-13.103,4,2,10.89843,0.060656,0,0.362867,0.362867,195,215.619,20.619,,0,1,102,204,102,107,84
3,8,complete,120,59,60,5.508,2566.696,2.475,5,5,6,10,22,5,-24.968,4,2,10.92459,0.048442,0,0.621362,0.621362,195,217.33,22.330000000000013,,0,1,68,136,68,69,57
3,9,complete,120,59,60,5.038,2670.843,2.201,5,5,7,9,37,8,-32.675,8,4,10.93171,0.043418,0,0.608621,0.608621,195,230.553,35.553,,0,1,78,156,78,82,79
3,10,complete,120,59,60,6.51,5147.624,3.157,50,50,52,53,55,55,2.677,26,13,11.03552,0.011556,-0.02253,0.0212,0.043730000000000005,195,196.894,1.8940000000000055,,0,1,97,194,97,102,84
3,11,complete,120,59,60,7.92,8547.864,7.191,25,25,28,31,47,44,2.004,20,10,11.02868,0.002521,-0.020155,0,0.020155,194.697,195.272,0.5749999999999886,,0,1,78,156,78,80,67
3,12,complete,121,60,60,3.718,2601.283,4.837,6,6,8,11,15,6,-17.727,4,2,11.03386,0.043345,0,0.354754,0.354754,195,208.134,13.133999999999986,,0,1,65,130,65,66,71
3,13,complete,122,61,60,4.536,3981.248,4.575,14,14,25,41,75,48,12.891,22,11,11.15506,0.029176,-0.188842,0,0.188842,188.085,195,6.914999999999992,,0,1,57,114,57,60,65
3,14,complete,120,59,60,7.566,7101.376,6.276,25,25,30,43,64,48,-3.596,14,7,11.02868,0.002727,0,0.018262,0.018262,193.792,195.163,1.3710000000000093,,0,1,71,142,71,80,78
3,15,complete,121,60,60,5.814,3593.304,4.465,13,13,13,15,25,34,6.756,20,10,11.04105,0.041025,-0.473664,0,0.473664,184.384,195,10.616000000000014,,0,1,55,110,55,55,49
3,16,complete,122,61,60,3.306,3597.108,6.323,12,12,15,21,23,21,6.308,10,5,11.15509,0.013259,-0.213115,0,0.213115,189.111,195,5.88900000000001,,0,1,49,98,49,49,48
