run,piece,status,frame_count,landing_frame,post_land_frame_count,mass,inertia,com_offset_px,footprint_width_px,contact_width_px,contact_center_offset_px,contact_points,contact_parts,landing_vx,landing_vy,landing_angular_velocity,landing_delta_vx,landing_delta_vy,landing_delta_angular_velocity,max_post_land_abs_vx,max_post_land_abs_vy,max_post_land_abs_angular_velocity,post_land_x_range,post_land_y_range,post_land_angle_range,max_bounce_height_px,sleep_frame,final_sleeping,final_ground_contact,physics_parts,triangles,regions,raw_regions,contour_vertices
1,1,complete,80,19,60,4.348,1775.255,7.415,3,13,0.213,30,15,1.68201,0.04346,-0.043864,1.68201,-10.8112,-0.043864,1.68201,0.95284,0.055256,17.322000000000003,19.168000000000006,1.017615,7.737000000000023,49,1,0,88,176,88,91,83
1,2,complete,80,19,60,4.144,971.803,3.723,6,23,1.906,24,12,-0.42863,-1.05661,-0.099317,-0.42863,-11.93224,-0.099317,5.19118,2.46882,0.134395,66.66300000000001,22.46199999999999,1.410675,7.814999999999998,49,1,0,83,166,83,90,76
1,3,complete,81,20,60,6.218,2680.781,8.535,8,61,-10.188,16,8,0.00174,0,0,0.01277,0,0,1.02275,0.39628,0.019691,3.589999999999975,2.0749999999999886,0.064815,2.0749999999999886,40,1,0,89,178,89,93,68
1,4,complete,80,19,60,2.636,378.793,10.821,9,18,-0.444,16,15,2.10221,0.1522,-0.169474,2.10221,-10.76512,-0.169474,2.23607,3.01988,0.169474,53.60300000000001,37.685,2.3618069999999998,30.515000000000043,51,1,0,54,108,54,54,62
1,5,complete,80,19,60,4.202,918.333,0.519,9,17,8.374,16,8,-1.54508,-1.06031,0.069992,-1.54508,-11.94293,0.069992,2.90679,1.64388,0.169976,67.611,20.180000000000007,3.0069559999999997,5.132000000000005,68,1,0,84,168,84,91,85
1,6,complete,80,19,60,4.956,1754.612,4.805,35,39,0.422,36,18,1.43741,-1.13925,-0.039059,1.43741,-11.98709,-0.039059,2.18156,2.66932,0.141265,50.474999999999994,23.59899999999999,2.005709,7.11099999999999,,0,1,63,126,63,66,67
1,7,complete,80,19,60,4.74,1831.832,2.853,4,12,-9.103,18,9,2.50315,0.02717,-0.013157,2.50315,-10.79983,-0.013157,2.52818,3.61777,0.094091,49.97,28.40700000000004,2.12717,26.94300000000004,,0,0,102,204,102,107,84
1,8,complete,80,19,60,5.508,2566.696,2.475,5,22,-20.468,18,9,2.75847,0.34266,0.030156,2.75847,-10.51213,0.030156,2.75847,1.30742,0.064543,65.13999999999999,11.552000000000021,0.567116,1.4080000000000155,,0,1,68,136,68,69,57
1,9,complete,80,19,60,5.038,2670.843,2.201,5,9,-32.175,14,7,4.17874,1.22484,0.044081,4.17874,-9.60216,0.044081,4.17874,1.22484,0.049718,26.817000000000007,10.680999999999983,0.64001,0,43,1,0,78,156,78,82,79
1,10,complete,80,19,60,6.51,5147.624,3.157,50,53,3.677,14,7,0.78899,-0.5265,0.009813,0.78899,-11.39518,0.009813,0.78899,0.5265,0.0104,1.7990000000000066,2.1499999999999773,0.036567,2.1499999999999773,36,1,0,97,194,97,102,84
1,11,complete,80,19,60,7.92,8547.864,7.191,25,16,1.004,2,1,-0.11428,0,-0.001342,-0.11428,-10.827,-0.001342,0.11428,0,0.001342,0.38800000000000523,0.5270000000000437,0.005203,0.02800000000002001,36,1,0,78,156,78,80,67
1,12,complete,81,20,60,3.718,2601.283,4.837,6,12.975,-17.709,12,6,1.37976,0.22114,0.021544,-0.77216,0.00107,-0.010611,1.37976,0.41238,0.021544,11.652000000000015,5.095000000000027,0.300696,0.5579999999999927,43,1,0,65,130,65,66,71
1,13,complete,81,20,60,4.536,3981.248,4.575,14,80,-5.109,20,28,0,0,0,0,-11.14902,0,0.03365,0,0,0.38800000000000523,17.863,0,17.863,37,1,0,57,114,57,60,65
1,14,complete,80,19,60,7.566,7101.376,6.276,25,25,-6.096,4,2,1.10692,-0.08468,-0.003144,1.10692,-10.93253,-0.003144,1.10692,0.08468,0.005193,3.9209999999999923,0.5730000000000359,0.020818,0.5730000000000359,37,1,0,71,142,71,80,78
1,15,complete,80,19,60,5.814,3593.304,4.465,13,13,17.256,4,2,-3.56245,0.33244,-0.006618,-3.56245,-10.48761,-0.006618,3.56245,0.78387,0.058554,24.275000000000006,7.134999999999991,0.580788,0,45,1,0,55,110,55,55,49
1,16,complete,81,20,60,3.306,3597.108,6.323,12,15.026,10.011,6,3,-0.4851,0.02402,-0.010305,0.413,0.01027,0.008348,0.4851,0.03418,0.010305,4.6299999999999955,2.058999999999969,0.157049,0.2559999999999718,37,1,0,49,98,49,49,48
1,17,complete,81,20,60,5.48,5629.969,2.731,19,70,8.247,14,26,0,0,0,0,-11.14261,0,0,0,0,0,15.448999999999955,0,0,37,1,0,58,116,58,59,60
1,18,complete,80,19,60,3.562,630.087,1.933,18,23,-1.396,32,16,-1.26512,-1.18498,0.108794,-1.26512,-12.0884,0.108794,1.9046,2.97595,0.172876,38.548,30.152000000000044,2.108145,13.745000000000005,,0,1,86,172,86,97,82
1,19,complete,80,19,60,4.006,1049.179,2.425,8,12,8.332,12,6,-0.54278,-0.24084,-0.082593,-0.54278,-11.08181,-0.082593,0.72097,2.11518,0.114213,8.733000000000004,20.605999999999995,1.703207,0,47,1,0,72,144,72,73,59
1,20,complete,80,19,60,4.246,1052.603,1.069,5,28,-8.641,26,13,0.65875,-1.39113,0.141216,0.65875,-12.26676,0.141216,2.29343,2.13976,0.230707,37.59100000000001,19.480999999999995,2.56575,6.371000000000038,,0,1,122,244,122,127,82
1,21,complete,80,19,60,8.592,8519.244,3.325,59,59,2.192,8,4,-0.15953,-0.06067,-0.0019,-0.15953,-10.88073,-0.0019,0.15953,0.06067,0.0019,0.18999999999999773,0.49900000000002365,0.001909,0.49900000000002365,36,1,0,50,100,50,50,44
1,22,complete,80,19,60,3.966,1328.128,2.502,5,12,-0.968,12,6,0.92979,-0.19324,-0.066588,0.92979,-11.08972,-0.066588,1.81893,0.64071,0.130863,58.084,3.698000000000036,0.5603760000000001,3.698000000000036,,0,1,67,134,67,70,54
1,23,complete,81,20,60,3.404,1817.289,0.999,56,55.981,-6.988,9,5,-0.58617,-0.42605,-0.011336,2.01271,-0.91447,0.030261,0.58617,0.42605,0.011591,2.77200000000002,2.3099999999999454,0.06565299999999999,2.2299999999999613,38,1,0,71,142,71,78,70
1,24,complete,81,20,60,4.054,1448.135,12.846,7,9.18,17.006,10,6,-2.14538,0.24713,-0.022875,0.02403,0.14372,0.04262,2.14538,0.63536,0.12932,50.893,3.569000000000017,0.678185,0.08999999999997499,,0,1,66,132,66,67,62
1,25,complete,80,19,60,2.958,422.016,3.375,16,19,-3.936,34,17,3.02475,-2.70655,-0.03598,3.02475,-13.57524,-0.03598,3.02475,2.70655,0.186547,29.712000000000018,27.45599999999996,2.549243,8.432999999999993,,0,1,85,170,85,88,80
1,26,complete,81,20,60,4.034,1163.861,2.725,11,12.621,-15.627,17,9,1.73498,-0.43988,-0.050326,0.93189,-0.1808,0.000133,1.8566,2.16633,0.118366,44.85899999999998,19.74200000000002,1.808133,2.789000000000044,65,1,0,76,152,76,82,72
1,27,complete,80,19,60,4.88,2744.433,3.428,6,6,13.294,6,3,-1.07185,0.03651,-0.057365,-1.07185,-10.76122,-0.057365,1.07185,0.7925,0.057365,8.576999999999998,6.249000000000024,0.341493,0,41,1,0,66,132,66,70,66
1,28,complete,80,19,60,3.352,665.675,2.082,3,32,2.727,34,17,-0.98912,-1.66124,0.017311,-0.98912,-12.56466,0.017311,1.52259,3.40589,0.058588,38.19399999999999,34.50800000000004,1.401637,23.550999999999988,47,1,0,92,184,92,95,80
1,29,complete,80,19,60,4.632,1624.548,2.816,3,29,4.358,32,16,-1.40217,-0.5409,-0.038474,-1.40217,-11.45127,-0.038474,2.76662,1.64106,0.115544,47.84800000000001,12.552999999999997,1.363369,5.774000000000001,,0,1,83,166,83,91,70
1,30,complete,80,19,60,3.614,888.625,5.169,11,12,6.387,6,3,-1.63682,0.18914,0.019719,-1.63682,-10.60902,0.019719,1.70545,1.4247,0.07306,52.316,23.697000000000003,1.551337,0.7789999999999964,53,1,0,61,122,61,63,64
1,31,complete,80,19,60,3.292,592.235,0.868,7,9,-5.863,6,3,1.63765,0.09284,-0.020765,1.63765,-10.71304,-0.020765,2.02887,1.57866,0.270797,35.74799999999999,23.08699999999999,2.339184,1.330000000000041,57,1,0,58,116,58,65,67
1,32,complete,80,19,60,2.092,204.507,2.907,1,1,3.859,2,1,-1.75712,-0.53702,0.107087,-1.75712,-11.34301,0.107087,3.04047,2.93248,0.194236,91.275,22.339999999999975,2.223285,1.233000000000004,,0,1,65,130,65,69,61
